"CH4_H2"	"CH4_ac"	"MOB_I"	"MOB_II"	"MOB_IIa"	"MeOB"	"AOA"	"AOB"	"NOB"	"Anamx"	"SOxB"	"SRB_syn"	"SRB"	"FeOB"	"FeRB"	"Methanogen"	"Methanotroph"	"Methanogen_Troph"	"AOA_NOB"	"AO_NOB"
"Sandmound_TuleA_D1"	1772.84193591215	296.775302046969	11964.7305983146	0	9824.82447302859	6279.14060120428	20274.4390556298	0	44461.6261724577	117.148145544856	2561.63944924752	63712.9714236624	22133.1896316081	1780.65181228181	4990.51100021087	2069.61723795912	21789.5550713432	0.0949820788530466	0.455998594765501	0.455998594765501
"Sandmound_TuleA_D2"	2219.98793484818	571.083852805148	10914.9406796702	0	11574.5023124874	4834.10416247738	15950.1307058114	16.0868690931028	68562.236074804	96.5212145586166	3691.93645686708	84013.6738387291	52523.6275889805	4528.45364970842	4464.10617333602	2791.07178765333	22489.4429921576	0.124105865522175	0.232637259502581	0.232871891130924
"Sandmound_TuleB_D1"	894.454382826476	0	15205.7245080501	0	2683.36314847943	2683.36314847943	12522.3613595707	0	33989.2665474061	2683.36314847943	8050.08944543828	67978.5330948122	136851.520572451	5366.72629695886	9838.99821109124	894.454382826476	17889.0876565295	0.05	0.368421052631579	0.368421052631579
"Sandmound_TuleB_D2"	2146.90514152209	410.437747643929	16985.8083255718	0	12644.6398408764	7529.95406254439	19211.6438031793	0	78930.3360853711	126.288537736594	5667.19813092964	105435.142942839	68543.1038565362	6598.57609673702	7750.95900358344	2557.34288916602	29630.4481664483	0.0863079381992541	0.2434	0.2434
"Sandmound_TuleC_D1"	1109.94344011619	118.079089374063	8088.41762212329	0	8607.96561536917	4664.12403027548	21419.546812455	0	44846.438144269	177.118634061095	1830.22588529797	59370.1661372788	19246.8915679722	1582.25979761244	4546.04494090141	1228.02252949025	16696.3832374925	0.0735502121640736	0.477619799894682	0.477619799894682
"Sandmound_TuleC_D2"	1556.38980134522	312.842171124668	12576.2552792116	0	13350.5396527452	4974.19052088221	21859.8467073362	15.6421085562334	78789.3007977475	54.7473799468168	3503.83231659628	85601.4390739872	42092.914124824	4731.7378382606	7015.48568747067	1869.23197246989	25926.7949319568	0.0720965309200605	0.277446892991861	0.277645423863411
"Sandmound_CattailA_D1"	2487.68006065201	371.177659843316	18242.9871114481	7.89739701794289	13907.3161485975	9192.57012888552	7068.17033105889	7.89739701794289	41816.7172100076	71.0765731614861	5228.07682587819	97509.1609805408	49469.2949203942	3356.39373262572	10179.7447561284	2858.85772049532	32158.2006570635	0.0888998035363457	0.169027384324835	0.169216241737488
"Sandmound_CattailA_D2"	1871.07898888359	205.45181054408	10030.4508933485	0	22225.4833620722	5693.95017793594	5877.38929449315	0	34919.4702278314	73.3756466228858	3617.41937850827	84646.1459441611	48251.8252192098	4094.36108155703	5172.98308691345	2076.53079942767	32255.9342554206	0.0643767060964513	0.168312670729145	0.168312670729145
"Sandmound_ThreeSqA_D1"	1428.58560104763	208.33540015278	3263.92126906021	0	9226.28200676594	7698.48907231223	15962.4599450391	0	36498.3779600989	109.128066746694	1954.38446809988	57173.186241927	16141.0331451701	863.103800632943	6756.01940495441	1636.92100120041	12490.2032758261	0.131056393963463	0.437347105191628	0.437347105191628
"Sandmound_ThreeSqA_D2"	1986.04015255091	316.615096783478	2849.5358710513	0	5699.07174210261	5627.11376556091	28509.7503058214	0	63769.1588112542	129.52435777506	2389.00482118442	61927.0346117867	20781.4636252428	863.495718500396	9743.11002374613	2302.65524933439	8548.60761315391	0.269360269360269	0.447077409162718	0.447077409162718
"Sandmound_ThreeSqB_D1"	877.462005043277	153.342874667757	3867.64806106454	0	13068.22054113	4557.69099706944	13732.7063313569	93.7095345191849	30225.5844067335	85.1904859265317	1269.33824030532	52460.3012335582	12429.291896681	707.081033190212	6057.0435493764	1030.80487971103	16935.8686021945	0.0608651911468813	0.4543404735062	0.457440811724915
"Sandmound_ThreeSqB_D2"	1091.66542178505	160.877009526218	4550.52112659872	0	10227.181319881	5251.48523953438	26889.4430208106	0	48423.9798673914	34.4736448984751	1206.57757144663	45114.5099571378	11146.4785171736	873.332337428037	6975.16748445813	1252.54243131126	14777.7024464797	0.0847589424572316	0.555291884195538	0.555291884195538
"Sandmound_ThreeSqC_D1"	704.373107933939	97.4133021610766	2847.46575547763	0	2540.23918712346	7006.26442466206	18276.2341516051	0	34933.9088211492	52.453316548272	974.133021610767	43363.90612355	11299.9430506849	824.266402901418	8362.55732398166	801.786410095016	5387.70494260109	0.148817802503477	0.523166023166024	0.523166023166024
"Sandmound_ThreeSqC_D2"	1084.27026657419	214.900413194886	6212.57558145214	0	10998.9938753382	6320.02578804959	14535.0824924541	39.07280239907	49397.7904330243	107.450206597443	2715.55976673537	67449.4251413947	31834.5657546423	2862.08277573188	7453.13705762261	1299.17067976908	17211.5694567904	0.0754824063564131	0.294245600158196	0.295036582954321
"WestPond_TuleA_D1"	19145.2349417835	1492.47830470279	37460.2170518117	0	3577.99434637357	49143.0604700813	0	9.88396228279993	336.054717615198	434.894340443197	13392.7688931939	68070.8482416431	25757.6057089766	4813.48963172357	12088.0858718643	20637.7132464862	41038.2113981853	0.502890173410404	0	0.0294117647058823
"WestPond_TuleA_D2"	32063.3094005121	4344.59927117471	37450.2789382833	16.6779242655459	21798.0470150685	27852.1335234617	8.33896213277296	0	233.490939717643	258.507826115962	36532.9931036783	144922.822905461	40835.8975641892	6654.49178195282	9481.39994496285	36407.9086716868	59265.0038776173	0.614323906008163	0.0357142857142857	0.0357142857142857
"WestPond_TuleB_D1"	19609.5394641982	1711.02844344474	38969.1534254212	0	15418.481029693	43410.1373629015	19.2250386903904	0	471.013447914563	182.637867558709	15754.9192067749	129538.31069585	47947.2464938336	5277.27312051215	7026.75164133767	21320.5679076429	54387.6344551143	0.392011311417462	0.0408163265306123	0.0408163265306123
"WestPond_TuleB_D2"	27336.1546379961	4023.99841951483	11364.9361047279	10.3979287325965	2037.99403158891	12841.4419847566	41.5917149303858	0	1455.71002256351	457.508864234245	5219.76022376342	159961.735622264	65600.5323739511	8900.62699510258	10969.8148128893	31360.1530575109	13413.3280650494	2.33798449612403	0.0285714285714285	0.0285714285714285
"WestPond_TuleC_D1"	16893.1727990429	1238.55182117671	38302.4257079545	0	16311.8117401232	50940.7095975128	25.2765677791165	25.2765677791165	151.659406674699	84.2552259303883	18199.1288009639	88687.0508143267	31646.2628594539	4094.80398021687	9739.9041175529	18131.7246202196	54614.2374480778	0.331996297439062	0.166666666666667	0.333333333333334
"WestPond_TuleC_D2"	22139.6044180854	2399.85050111632	49019.8971211629	9.83545287342756	24067.3531812772	54901.4979394726	39.3418114937102	9.83545287342756	344.240850569964	88.5190758608481	19493.8675951334	127526.481956862	32840.5771443746	4917.72643671377	9461.70566423731	24539.4549192018	73097.0857553136	0.335710441334769	0.114285714285714	0.142857142857143
"WestPond_CattailA_D1"	8194.8944778755	565.756313326133	33071.0281335185	8.57206535342625	22613.1084023384	9866.44722179362	34.288261413705	17.1441307068525	14383.9256630493	34.2882614137051	31819.5065919183	94669.8897632396	35094.0355569271	5871.86476709699	6634.77858355192	8760.65079120163	55692.7086012104	0.157303370786517	0.00238379022646007	0.00357568533969011
"WestPond_CattailA_D2"	38843.8815580005	4864.32943007748	22818.127144727	17.6884706548272	24604.6626808647	15521.6329996109	70.7538826193088	0	371.457883751371	97.2865886015495	42584.9931014964	158161.460360137	43451.728163583	5536.4913149609	4979.30448933385	43708.210988078	47440.4782962465	0.921327367636093	0.190476190476191	0.190476190476191
"WestPond_CattailB_D1"	6443.3623530569	385.290115259128	42668.8308494418	0	6533.5366353516	38783.1390487433	49.1859721607398	8.19766202678996	901.742822946896	122.964930401849	31151.1157018019	64007.345105176	18059.4494450183	5230.10837309199	7779.58126342367	6828.65246831603	49202.3674847934	0.138787070976341	0.0545454545454546	0.0636363636363637
"WestPond_CattailB_D2"	23610.4739882229	4203.4507615829	29386.70810826	0	5158.35494350151	37522.1172659783	28.0854171152532	0	496.175702369473	140.427085576266	15222.2960764672	151239.971165638	52173.3431944353	10803.5237836674	8584.77583156239	27813.9247498058	34545.0630517615	0.805149051490514	0.0566037735849056	0.0566037735849056
"WestPond_CattailC_D1"	9395.22773412962	546.234170588932	39228.7173511284	9.10390284314886	16086.5963238441	35304.9352257313	18.2078056862977	0	4615.67874147648	36.4156113725955	45291.9166446656	100734.684959442	26883.8250958186	2794.8981728467	4670.30215853536	9941.46190471856	55324.4175778156	0.179693927924963	0.0039447731755424	0.0039447731755424
"WestPond_CattailC_D2"	33863.8152463957	3570.6743967288	23247.7779270892	9.59858708798065	16202.4150045114	26300.128621067	28.795761263942	0	489.527941487013	191.971741759613	24092.4535908314	158328.694016241	60192.7396287267	3925.82211898409	5538.38474976484	37434.4896431245	39459.7915186885	0.948674288494282	0.0588235294117647	0.0588235294117647
"MayberryNE_TuleA_D1"	38629.3701430782	6223.81391144103	21583.4217068549	34.7699101197823	2459.9711409746	8336.08595121781	1243.02428678222	869.247752994559	1860.19019140836	947.480050764068	7675.45765894195	106952.243528451	41158.8811042923	5493.64579892561	22956.8331565863	44853.1840545192	24078.1627579493	1.86281588447654	0.66822429906542	1.13551401869159
"MayberryNE_TuleA_D2"	13198.7756323215	16041.057743205	2059.79148926377	621.389611286276	598.375181238637	1472.92352304895	14050.3095440841	149.593795309659	6628.15585372028	1012.63492209615	13520.9776529884	69008.7684978481	31034.9589192424	5258.79726588572	7030.90837955398	29239.8333755265	3279.55628178868	8.91578947368422	2.11979166666667	2.14236111111111
"MayberryNE_TuleB_D1"	32462.8809585829	5299.23157072154	18136.233394113	16.2802813232613	683.771815576973	9564.66527741599	960.536598072415	1318.70278718416	651.211252930451	781.45350351654	18315.3164886689	115874.902318312	36931.8181818182	2539.72388642876	6821.43787444647	37762.1125293045	18836.2854910133	2.004753673293	1.475	3.49999999999999
"MayberryNE_TuleB_D2"	25452.0757279905	3361.91527294338	6638.93369555989	93.3865353595382	823.499448170473	3090.24535189745	5297.56346039562	322.608031242041	2198.82842346548	1417.77740045844	17522.7099074624	128211.223363613	50904.151455981	6070.12479836997	10493.250700399	28813.9910009338	7555.8196790899	3.81348314606742	2.40926640926641	2.55598455598456
"MayberryNE_TuleC_D1"	42842.5986223596	4329.20285800765	27011.6576627808	0	871.343795573573	10914.7275445532	550.322397204362	687.902996505453	2045.36490960954	752.107276179295	7952.15863960304	84933.0899685399	40228.5672356389	6521.32040687169	23994.0565181102	47171.8014803672	27883.0014583543	1.69177631578947	0.269058295964126	0.605381165919283
"MayberryNE_TuleC_D2"	19489.5008173016	2699.19108093382	4006.87371641728	0	1517.24716040069	2766.25172890733	35944.5073138019	318.538077874177	4794.83633010604	813.110356678821	6563.5609204074	100976.570686114	44352.2360534809	3235.67626472191	11224.2759545664	22188.6918982355	5524.12087681797	4.01669195751138	7.49650349650351	7.56293706293707
"MayberryNE_CattailA_D1"	4714.47670587934	793.209106552291	6563.16567195686	57.5716287013759	179.111733737614	825.193344719723	34312.69070602	63.9684763348622	12371.5033231623	172.714886104128	2961.74045430412	84822.1996200272	33257.2108464949	575.716287013759	12051.660941488	5507.68581243163	6799.84903439585	0.80997177798683	2.77352637021716	2.77869700103412
"MayberryNE_CattailA_D2"	724.515178592992	941.869732170889	700.364672639892	283.768444948922	102.639650300674	223.392180066172	26698.3843311518	78.4891443475741	19193.614606226	579.612142874393	3978.79585577318	81405.3179414108	31631.1251720723	827.154828893665	1714.68592267008	1666.38491076388	1086.77276788949	1.53333333333333	1.39100346020761	1.39509279647688
"MayberryNE_CattailB_D1"	4106.8089934323	1526.07104619761	5385.1931159015	279.646526790137	199.747519135812	1142.55580945685	38695.0894069896	127.83841224692	11425.5580945685	567.282954345707	3459.62703143227	82120.2000671152	35467.1694977548	1030.69719874079	10930.1842471117	5632.8800396299	5864.58716182745	0.960490463215259	3.38671328671329	3.3979020979021
"MayberryNE_CattailB_D2"	494.746751506572	2432.50486157398	192.401514474778	666.53381800191	61.8433439383216	137.42965319627	43400.2844793821	41.228895958881	21150.423626906	487.875268846759	2913.50864776093	74095.1975207691	25280.1847054539	1003.23646833277	1346.81060132345	2927.25161308056	920.77867641501	3.17910447761194	2.05198180636777	2.05393112410656
"MayberryNE_CattailC_D1"	227.632954507132	387.819107678818	5969.04191818703	320.372306343372	531.143560516642	843.085016693084	36842.8152294877	8.43085016693083	21414.3594240043	168.617003338617	4013.08467945907	141064.984993087	32846.5922503626	2453.37739857687	7309.54709472902	615.45206218595	6820.55778504705	0.0902348578491964	1.72047244094488	1.72086614173228
"MayberryNE_CattailC_D2"	628.559949715204	7179.83942561284	635.039949196805	434.159965267203	952.559923795206	758.159939347205	50407.9159673667	32.3999974080002	20314.7983748162	563.759954899204	3000.23975998082	80786.1535371077	30177.3575858114	1159.91990720641	1574.63987402881	7808.39937532805	2021.75983825921	3.86217948717948	2.48133971291866	2.4829346092504
"MayberrySE_TuleA_D1"	2008.40890927412	931.234580770701	12682.8590291532	173.737794919907	1744.32746099587	1730.42843740227	22433.0240800583	34.7475589839813	10987.1781507349	430.869731401369	5128.73970603565	60224.4692310365	42892.3868098266	2508.77375864346	11223.461551826	2939.64349004482	14600.924285069	0.201332698714898	2.04174573055028	2.044908285895
"MayberrySE_TuleA_D2"	1467.04701218834	889.11940132627	2148.70521987182	414.922387285592	1363.31641536695	392.694402252436	16367.2063127477	22.2279850331567	8231.76379061239	326.010447152965	2126.47723483866	51739.3398288445	35135.0350090764	2674.76753232319	5379.17237802393	2356.16641351461	3926.94402252436	0.599999999999999	1.98829882988298	1.99099909990998
"MayberrySE_TuleB_D1"	1261.81271477663	1091.78121420389	1029.13802978236	8.94902634593356	1208.11855670103	1136.52634593356	32628.1500572738	599.584765177549	8859.53608247423	6998.13860252005	17575.8877434135	66330.1832760596	149251.86139748	1064.93413516609	1897.19358533792	2353.59392898053	2246.20561282932	1.04780876494024	3.68282828282828	3.75050505050505
"MayberrySE_TuleB_D2"	210.616194677672	859.541767468336	666.002561548314	0	768.464494094208	165.077557990608	34484.1326312794	142.308239647076	14430.0555002135	3694.32190123808	1554.00597694606	86620.179308382	63093.7811299274	2521.70200654618	535.078981073004	1070.15796214601	1434.46705564252	0.746031746031746	2.38974358974359	2.39960552268245
"MayberrySE_TuleC_D1"	1529.61276645228	626.157272816724	2692.47627311191	0	518.816026048143	733.498519585304	39564.1945381195	1198.64392224916	11002.4777937796	2236.27597434544	9007.71962466344	71918.6353349494	113665.43522403	1144.97329886487	1789.02077947635	2155.77003926901	3211.29229916005	0.671309192200558	3.59593495934959	3.70487804878048
"MayberrySE_TuleC_D2"	241.665883490192	718.284709262517	201.388236241827	0	483.331766980385	80.5552944967308	17332.8141992132	201.388236241827	8310.62121557939	1503.69883060564	1349.30118282024	60799.1085214076	53938.4826067693	2953.6941315468	490.044708188446	959.950592752709	684.720003222212	1.40196078431373	2.08562197092084	2.10985460420032
"MayberrySE_CattailA_D1"	3593.94558397776	1497.4773266574	2096.46825732036	15.3587418118708	1159.58500679625	299.49546533148	7748.4852440888	99.83182177716	7564.18034234635	652.746527004508	17286.2639092606	50944.9465899754	93557.7757470108	4983.91171795206	2311.49064268655	5091.42291063516	3271.41200592848	1.55633802816901	1.0243654822335	1.03756345177665
"MayberrySE_CattailA_D2"	270.784656567688	2816.16042830396	587.989539975552	0	425.518746034939	177.944202887338	53553.4683646154	324.941587881226	16363.1299611617	1787.17873334675	1586.02441703932	70280.2234360252	97490.2130688413	3125.62860723846	874.247605489966	3086.94508487165	1013.50828601049	3.04580152671755	3.27281323877068	3.29267139479905
"MayberrySE_CattailB_D1"	1249.58132584443	2009.63594671888	901.75971968155	0	360.70388787262	502.408986679721	22524.6695694742	727.848916600108	11194.702805761	1049.90595934352	3722.97941411382	83000.5410558318	104971.272511787	1648.93205884626	1243.14018498957	3259.21727256332	1262.46360755417	2.58163265306123	2.01208285385501	2.0771001150748
"MayberrySE_CattailB_D2"	813.193711301966	5407.02485234114	891.659771164437	0	378.063742973721	206.865066910149	52836.1914001199	577.795531714554	16406.5397894256	506.4627500214	1162.72434159842	106742.374525637	44304.7907096185	1326.78973949268	485.062915513453	6220.21856364311	1269.72351413816	4.89887640449438	3.2204347826087	3.25565217391305
"MayberrySE_CattailC_D1"	4657.01404136616	1132.99838254714	4289.76628978192	0	562.592300299268	750.12306706569	13806.9527031779	367.247751584244	6587.0181826706	1187.69485618734	10798.6466529665	63901.1087756585	72644.730776143	2265.99676509427	3219.27816282359	5790.0124239133	4852.35859008119	1.19323671497584	2.09608540925267	2.15183867141163
"MayberrySE_CattailC_D2"	552.797898228197	1151.18737569171	222.258948772162	0	341.936844264864	51.2905266397296	43853.4002769688	1333.55369263297	14885.6506203304	638.282109294413	1521.61895697865	90248.5310963066	96283.7163975814	1099.89684905198	1236.67158675793	1703.98527391991	564.195793037026	3.02020202020202	2.94601837672282	3.03560490045942
