KO	Sandmound_TuleA_D1	Sandmound_TuleA_D2	Sandmound_TuleB_D1	Sandmound_TuleB_D2	Sandmound_TuleC_D1	Sandmound_TuleC_D2	Sandmound_ThreeSqA_D1_rd	Sandmound_ThreeSqA_D2	Sandmound_ThreeSqB_D1	Sandmound_ThreeSqB_D2	Sandmound_ThreeSqC_D1	Sandmound_ThreeSqC_D2	WestPond_TuleA_D2	WestPond_TuleB_D1	WestPond_TuleB_D2	WestPond_TuleC_D1	WestPond_TuleC_D2	WestPond_CattailA_D1	WestPond_CattailA_D2	WestPond_CattailB_D1	WestPond_CattailC_D2	WestPond_TuleA_D1	MayberryNE_TuleA_D1	MayberryNE_TuleA_D2	MayberryNE_TuleB_D1	MayberryNE_TuleB_D2	MayberryNE_TuleC_D1	MayberryNE_TuleC_D2	MayberryNE_CattailA_D1	MayberryNE_CattailA_D2	MayberryNE_CattailB_D1	MayberryNE_CattailB_D2	MayberryNE_CattailC_D1	MayberryNE_CattailC_D2	MayberrySE_CattailA_D1	MayberrySE_CattailA_D2	MayberrySE_CattailB_D1	MayberrySE_TuleA_D1	MayberryNW_TuleA_D1	MayberryNW_TuleA_D2	MayberryNW_TuleB_D1	MayberryNW_TuleB_D2	MayberryNW_TuleC_D1	MayberryNW_TuleC_D2	MayberryNW_CattailA_D1	MayberryNW_CattailA_D2	MayberryNW_CattailB_D1	MayberryNW_CattailB_D2	MayberryNW_CattailC_D1	MayberryNW_CattailC_D2	Browns_TuleA_D1	Browns_TuleA_D2	Browns_TuleB_D1	Browns_TuleB_D2	Browns_TuleC_D1	Browns_ThreeSqA_D1	Browns_ThreeSqA_D2	Browns_ThreeSqB_D1	Browns_ThreeSqB_D2	Browns_ThreeSqC_D1	Browns_ThreeSqC_D2	RushSE_TuleA_D1	RushSE_TuleA_D2	RushSE_TuleB_D1	RushSE_TuleB_D2	RushSE_TuleC_D1	RushSE_CattailNLA_D1	RushSE_CattailNLA_D2	RushSE_CattailNLB_D1	RushSE_CattailNLB_D2	RushSE_CattailNLC_D1	RushSE_CattailNLC_D2	RushMan_CattailNLA_D2	RushMan_CattailNLB_D2	RushMan_CattailNLC_D1	RushMan_CattailNLC_D2	RushMan_ThreeSqA_D1	RushMan_ThreeSqA_D2	RushMan_ThreeSqB_D1	RushMan_ThreeSqB_D2	RushMan_ThreeSqC_D2	RushOxbow_ThreeSqA_D1	RushOxbow_ThreeSqA_D2	RushOxbow_ThreeSqB_D1	RushOxbow_ThreeSqB_D2	RushOxbow_ThreeSqC_D1	RushOxbow_ThreeSqC_D2	Joice_CattailNLA_D1	Joice_CattailNLA_D2	Joice_CattailNLB_D1	Joice_CattailNLB_D2	Joice_CattailNLC_D1	Joice_CattailNLC_D2	Joice_ThreeSqA_D1	Joice_ThreeSqA_D1_rd	Joice_ThreeSqA_D2	Joice_ThreeSqA_D2_rd	Joice_ThreeSqB_D1	Joice_ThreeSqC_D1	Joice_ThreeSqC_D2	Goodyear_PhragA_D2	Goodyear_PhragC_D2	White_CordA_D2	White_CordB_D2	White_ThreeSqA_D1	White_ThreeSqA_D2	White_ThreeSqB_D1	White_ThreeSqB_D2	White_ThreeSqC_D1	White_ThreeSqC_D2	Tolay_CordA_D2	Tolay_CordB_D2	Tolay_CordC_D2	China_Galinas_CordA_D2	China_Galinas_CordB_D2	China_Galinas_CordC_D2	China_Galinas_PWA_D1	China_Galinas_PWA_D2	China_Galinas_PWB_D1	China_Galinas_PWB_D2	China_Galinas_PWC_D1	China_Bullhead_CordA_D2	China_Bullhead_CordB_D2	China_Bullhead_CordC_D2	China_Galinas_PWC_D2	Muzzi_CordA_D2	Muzzi_CordB_D2	Muzzi_CordC_D2	Muzzi_PWA_D1	Muzzi_PWB_D1	Muzzi_PWB_D2	Muzzi_PWC_D1	Muzzi_PWC_D2
K00001	12.081	12.067	12.085	12.053	12.099	12.082	12.172	12.238	12.239	12.151	12.08	12.094	11.72	11.732	11.499	11.711	11.697	12.121	11.821	11.799	11.631	11.635	11.653	11.923	11.584	11.811	11.641	11.982	12.116	12.265	12.115	12.178	12.151	12.235	12.196	12.269	12.301	12.277	12.054	12.046	12.132	12.147	12.185	12.219	11.85	12.145	12.047	12.165	12.04	12.245	12.048	12.131	12.069	12.143	12.063	12.099	12.074	12.098	12.1	12.133	12.018	12.149	12.056	12.045	12.092	12.085	12.031	11.948	11.974	11.884	12.054	12.032	11.736	11.961	12.092	11.785	12.135	12.087	12.154	12.046	11.965	12.135	12.286	12.311	12.267	12.372	12.119	12.139	11.858	12.123	11.992	11.947	11.863	12.021	12.017	11.997	12.042	11.959	11.944	11.995	12.077	12.033	12.065	12.134	12.004	12.011	12.014	12.008	12.067	12.049	12.193	12.207	12.262	12.288	12.089	12.177	12.176	12.068	11.982	12.01	11.989	12.29	12.365	12.338	11.962	12.127	12.192	12.094	12.188	12.246	12.179	12.085	12.108
K00002	7.6401	7.304	7.6218	7.3884	7.7823	7.3416	7.3164	6.9943	7.1002	7.1635	7.1226	7.25	7.5794	7.5377	7.2318	7.8894	7.5067	7.7151	7.4379	7.8257	7.4536	7.93	8.069	7.3152	7.8669	7.7618	8.0401	7.9106	7.617	7.1457	7.9083	7.4748	7.2643	7.9979	7.5142	7.8993	7.2322	7.6348	7.4831	7.3637	7.2547	7.6307	7.8365	7.477	7.5822	7.3818	7.6694	7.4432	7.5795	7.4619	7.405	7.2683	7.0965	7.3381	7.2773	7.0601	7.248	7.2608	7.5325	7.0929	7.3133	7.7911	7.4011	7.7689	7.6675	7.6476	7.9337	7.5202	8.0564	7.5858	7.9053	7.2155	7.3328	7.2169	7.809	7.1112	7.6413	7.2163	7.7649	7.2615	7.1682	7.5658	7.6668	7.6867	7.4838	7.8844	7.3391	7.4563	7.2156	7.7387	7.0998	7.9676	7.0178	7.5031	7.6625	7.4319	7.4254	7.9673	7.7355	7.4016	6.9693	6.8806	8.3056	8.3328	8.3114	8.3078	8.2934	7.4767	7.615	7.7625	8.2707	7.6201	8.018	8.6776	7.8646	7.9312	7.6176	7.1491	7.9822	7.7483	7.4806	7.6773	7.7401	7.9442	7.2756	7.6496	8.3934	7.3459	7.6802	8.8228	7.9038	7.623	7.1196
K00003	12.377	12.292	12.383	12.299	12.366	12.219	12.234	12.176	12.129	12.131	12.084	12.113	12.212	12.29	12.281	12.178	12.115	12.175	12.211	12.073	12.28	12.183	12.304	12.283	12.284	12.243	12.221	12.304	12.324	12.361	12.262	12.251	12.311	12.187	12.291	12.372	12.271	12.45	12.166	12.218	12.214	12.356	12.305	12.246	12.222	12.164	12.237	12.238	12.215	12.329	12.179	12.2	12.26	12.223	12.198	12.067	12.286	12.091	12.26	12.171	12.283	12.287	12.273	12.144	12.271	12.3	12.204	12.198	12.217	12.169	12.221	12.218	12.314	12.347	12.294	12.325	12.318	12.185	12.295	12.161	12.17	12.394	12.203	12.252	12.239	12.21	12.101	12.382	12.238	12.263	12.146	12.18	12.183	12.068	12.226	12.167	12.311	12.004	12.082	12.208	12.316	12.27	12.206	12.106	11.901	11.821	11.87	12.214	12.144	12.026	12.0	12.109	12.005	12.012	12.149	12.167	12.214	12.254	12.145	12.182	12.28	12.172	12.048	12.097	12.263	12.276	11.969	12.215	12.209	11.932	12.082	12.191	12.197
K00004	6.36	6.4288	6.4332	6.4328	6.494	6.5065	6.283	6.3845	6.2491	6.2048	6.1948	6.3687	6.2669	6.3727	6.5467	5.7877	6.2953	6.2916	6.8297	5.5254	6.5244	5.3677	5.8443	6.4165	5.7434	6.1997	5.7676	6.5508	6.3321	6.2043	6.3282	6.8012	6.7611	6.3281	6.3613	6.5867	6.2474	6.2586	6.3478	6.4544	6.406	6.6486	6.0739	6.2945	5.9219	6.349	6.6074	6.7729	6.4405	6.3597	6.0294	6.2709	6.2113	6.3462	6.1752	6.3426	6.3538	6.0014	6.1813	6.2591	6.2336	6.5744	6.6891	6.0628	6.6148	6.225	5.9254	6.3579	5.6083	6.4966	6.0008	6.5479	6.4039	6.7347	6.1721	6.3812	6.3796	6.3872	6.1678	6.3042	6.3746	6.496	6.6724	6.7071	6.6753	6.7374	6.2427	6.5621	6.1955	6.6603	6.1821	5.916	5.9768	6.1384	6.5246	5.7226	6.425	5.7794	5.9811	6.0651	6.4519	6.7371	6.2575	6.7678	6.1411	5.962	5.7145	6.1189	6.3902	6.3226	6.3637	6.637	6.5334	6.2659	6.4208	6.3616	6.7667	5.9701	6.2686	6.5119	6.5172	7.0596	6.9796	6.6153	5.9874	6.4346	6.1997	6.788	6.3572	6.0756	6.2443	5.999	6.2685
K00005	8.104	8.1573	8.2144	8.2496	7.789	8.1164	7.3423	7.7433	7.4109	7.436	7.4066	7.754	9.1779	8.6452	9.1112	8.0219	8.5984	8.224	8.8547	8.1115	9.0227	8.2601	9.2358	8.0717	9.3834	8.9375	8.9679	8.5547	7.9419	7.2341	7.8829	6.9027	7.7284	7.086	7.6911	7.3051	7.6872	8.0155	7.8951	7.4884	7.9695	6.8758	7.4388	7.1766	8.2986	7.5199	8.1249	7.4075	7.9118	6.6344	7.5783	8.4668	7.253	7.9869	7.3834	7.6684	8.4439	7.3815	8.4517	7.9358	8.2603	8.6503	9.3923	8.4244	9.2902	8.7122	8.5556	9.326	8.8448	9.2378	8.4816	9.1476	9.5563	9.115	8.8978	9.4968	7.8619	7.9067	8.207	8.1023	8.081	7.9624	7.6862	7.4798	7.8984	7.4179	7.7983	7.8711	8.3704	7.2924	8.1281	7.2629	7.5006	7.3735	7.5467	7.9866	7.7228	7.4468	7.9516	8.4405	8.2215	8.2983	9.1763	9.0809	8.4418	8.1981	8.0917	9.032	9.0467	8.5197	8.7212	8.3801	8.9084	8.7507	8.1222	9.1729	9.186	8.2645	8.6615	8.5672	8.8161	9.1206	8.8624	9.0236	8.5381	9.0018	8.2802	8.8035	9.016	8.0771	8.4723	8.8899	8.5717
K00007	6.0325	5.6909	6.2798	6.1836	6.2824	6.5065	6.7573	6.3479	6.6205	6.2048	6.649	6.4519	5.5958	6.1036	4.0989	7.1472	6.7388	5.9945	5.3119	6.9458	4.7604	7.3582	5.5382	3.3931	6.0756	5.059	6.1289	4.836	4.0823	2.7278	4.6829	2.7512	3.0191	3.2929	3.9095	3.1688	3.4321	4.992	3.7387	3.8413	3.5973	2.6148	3.3428	3.5064	4.5354	3.9317	3.5738	3.4996	4.4481	2.6376	5.353	4.9575	5.7874	4.6824	6.1148	5.5094	5.2384	5.3003	4.9326	5.2272	5.8165	5.77	4.8707	5.497	4.9765	4.9879	5.9868	5.2897	6.1801	4.2918	5.9541	3.9208	4.5884	4.1244	6.2661	4.5625	5.8696	4.6414	6.6091	4.683	5.0737	5.1642	5.8051	6.389	4.9162	6.4192	5.5919	5.0744	2.8437	4.8671	5.0594	6.0541	4.5181	5.1472	5.2595	4.3599	4.788	5.2948	5.3145	3.557	3.4608	3.1064	3.9102	3.5858	4.8286	4.9157	4.4028	3.1155	3.5844	3.3757	3.6879	2.6266	3.3651	2.7855	3.9054	2.6587	3.078	3.0945	2.9426	2.6048	2.8617	2.9758	3.102	2.8917	3.0107	3.1665	3.0356	2.9604	2.6004	3.5123	2.8382	3.1073	2.8696
K00008	10.404	10.522	10.361	10.555	10.22	10.513	10.106	10.584	10.402	10.379	10.158	10.45	10.194	9.8754	10.854	9.7002	10.096	9.8858	10.399	9.7956	10.436	9.9297	9.9809	10.322	9.968	10.111	9.8571	10.297	10.519	10.529	10.424	10.518	10.41	10.474	10.206	10.377	10.393	10.579	10.285	10.719	10.628	10.753	10.296	10.655	10.197	10.56	10.292	10.611	10.598	10.818	10.352	10.549	10.053	10.447	10.065	10.35	10.539	10.211	10.845	10.466	10.782	9.8544	10.423	9.7162	10.479	9.9888	9.7307	10.265	9.8403	10.422	9.746	10.546	10.671	10.826	9.9273	10.422	10.039	10.381	9.8533	10.224	10.241	10.305	10.366	9.9266	10.435	9.9836	10.501	9.9696	10.372	9.8609	10.327	9.8586	10.2	10.276	9.8698	10.332	9.9567	10.109	10.092	10.354	10.595	10.632	10.538	10.59	10.193	10.16	10.093	10.549	10.613	10.393	10.662	10.759	10.746	10.212	9.8384	10.876	10.96	9.9875	10.093	10.129	10.337	11.043	11.095	10.94	10.241	10.55	9.9186	10.459	10.404	9.8439	9.9852	10.083	10.1
K00009	4.732	4.7627	4.97	5.184	5.0259	6.093	4.4052	5.1822	5.358	4.5684	4.8374	4.7271	6.2266	5.9881	6.9543	5.5811	6.1816	5.3582	5.9995	4.8739	6.4056	5.2635	6.9821	5.9866	6.7939	6.0089	6.5572	6.5153	6.1757	4.9062	5.8668	5.3061	5.7757	6.108	5.778	6.1553	5.3068	6.2971	5.5039	5.8332	6.1734	6.0872	5.7836	6.0353	5.9219	6.1995	6.2699	6.0607	6.5262	5.9969	4.237	4.6573	5.2633	4.8514	4.8391	5.0278	5.4355	5.4925	5.4792	5.6951	4.8541	5.701	6.2339	4.8346	5.7641	6.2065	5.0601	6.0668	5.6083	5.985	5.2288	6.408	6.7243	6.8863	5.2864	7.0145	5.4201	5.6407	5.3351	5.8903	5.6991	6.1183	6.0458	5.7676	5.9713	5.6819	6.2613	5.2019	5.5627	6.5312	5.716	4.9036	5.6761	5.4514	5.6307	5.3459	5.5379	5.5735	5.2827	5.9834	6.1899	6.4908	5.8124	6.1044	5.5502	5.0499	5.8869	6.268	6.3299	6.2834	6.1365	6.1699	6.2429	5.8349	4.573	6.7546	6.6822	5.9701	5.8199	5.4296	5.781	6.9358	6.7141	6.4414	5.6915	6.4853	5.3148	6.2147	6.2401	5.9353	5.7169	6.3682	6.2006
K00010	10.721	10.655	10.719	10.636	10.74	10.664	10.767	10.694	10.924	10.735	10.832	10.675	10.0	10.255	10.178	10.163	10.264	10.444	10.269	9.9773	10.174	9.9996	10.485	10.523	10.265	10.451	10.322	10.407	10.979	11.03	10.917	11.022	11.008	10.836	10.7	10.786	10.981	11.199	10.591	10.771	10.666	10.924	10.944	10.961	10.394	10.792	10.574	10.836	10.775	10.968	10.307	10.446	10.396	10.521	10.716	10.652	10.51	10.696	10.471	10.539	10.341	10.859	10.842	10.559	10.784	10.783	10.615	10.497	10.475	10.417	10.603	10.68	10.164	10.277	10.865	10.425	10.755	10.614	10.837	10.501	10.582	10.625	10.966	11.006	10.661	11.011	10.575	10.638	10.056	10.848	10.239	10.455	10.147	10.476	10.558	10.338	10.443	10.303	10.379	10.222	10.671	10.744	10.522	10.724	10.347	10.218	10.226	10.472	10.694	10.448	10.609	10.656	10.641	10.685	10.541	10.861	10.839	10.395	10.37	10.236	10.291	10.842	10.852	10.811	10.25	10.644	10.518	10.383	10.449	10.642	10.267	10.176	10.255
K00011	7.8247	7.7186	7.8673	7.7511	7.8155	7.6885	8.0828	7.5476	7.7071	7.8871	7.7991	7.8912	7.9745	8.0781	8.0089	8.0577	7.9101	8.5904	8.2344	8.2076	7.9446	8.2601	8.0631	8.3219	8.3801	8.5612	8.0187	8.2387	7.7682	7.8039	7.7352	7.916	7.7918	8.0605	8.3634	7.8025	8.1218	7.9446	8.7995	7.922	8.6117	8.0006	8.2624	8.3055	8.571	7.9176	8.2637	8.1486	8.4051	7.8765	7.8132	7.9013	7.9336	7.7694	7.9981	7.8145	8.0965	7.909	8.035	7.6724	7.8271	7.9722	7.9748	7.7275	7.8488	7.9156	7.8205	7.5202	7.6342	7.2731	7.6003	7.8959	8.3172	8.5796	8.0442	7.9605	8.0581	7.8462	7.9812	7.931	7.987	8.1959	8.1597	7.9652	8.0043	8.0411	7.4563	7.933	8.0537	8.0253	7.867	7.774	7.9457	7.9182	8.0504	8.246	8.3676	7.8746	8.2457	8.2619	8.5798	8.393	7.1671	7.4738	7.6171	7.4957	7.3706	7.2892	7.7591	7.5147	7.563	7.4524	7.2649	8.0089	7.8314	7.7201	7.5168	7.5984	7.5398	7.912	7.2853	7.6618	7.1947	7.348	7.762	7.5181	7.6291	7.6434	7.6608	8.0435	7.396	7.4418	7.5726
