EWsiteHyd_index	Sample	MG_name	Latitude	Longitude	Date.x	SPID	taxon_oid	GOLD_Analysis_Project_ID	GOLD_Sequencing_Project_ID	Index	Site	Location	Pl_Sp	EWcoastGroup	SALTgroup	LU	Depth	Date.y	Salinity.x	Core_Weight_oz	Temp	Conductivity	CO2_uM_m2_s	CH4_uM_m2_s	CO2_mg_m2_h	CH4_ug_m2_h	CH4_ppm_s	CO2_ppm_s	D1_Read_count	iTag_name.x	latitude	longitude	Part_DM	pH	Cl	SO4	OM_LOI	Corg_LOI	N	C	NO3_N	NH4_N	Olsen_P	P	Zn	Mn	Fe	Cu	EW.no	iTag_name.y	SampNO	PW_LABEL	Salinity.y	Cl_pw	SO4_pw	DOC_mg_L	NO2_pw	NO3_pw	NH3_pw	PO4_pw	Br_pw	F_pw	Na_pw	Mg_pw	Ca_pw	K_pw	Sr_pw	Fe_pw	Mn_pw	Al_pw	Si_pw	Co_pw	Cu_pw	Zn_pw
1	Sandmound_TuleA_D1	Sandmound_TuleA_D1	38.0035	-121.6258	9/5/13	1072583	3300014324	Ga0075352	Gp0116118	2	Sandmound	Sandmound	Tule	SF_Ref	FW	Ref	d1	9/5/17	0.593425419	12.2	22.5	1134	9.052733722	0.019929985	1.481019832	4.473064042	0.000489175	0.222196617	171852	s002_Sandmound_TuleA_D1	38.000706	-121.624306	23.7	6.16	13.89	51.7	25.16	14.59	1.068	14.9	0.12	33.42	15.4	0.104	NA	NA	NA	NA	2	s002_Sandmound_TuleA_D1	s002	W14	0.59	266.143	3.436	9.863	0.997	NA	2.034666667	NA	1.438	0.403	114758.69	25081.42	51564.87	NA	254.07	615.38	272.04	25.25	10496.08	0.43	3.21	NA
2	Sandmound_TuleA_D2	Sandmound_TuleA_D2	37.550705	-122.214362	9/5/13	1048100	3300005204	Ga0068997	Gp0101388	85	Sandmound	Sandmound	Tule	SF_Ref	FW	Ref	d2	9/5/17	0.593425419	12.2	22.5	1134	9.052733722	0.019929985	1.481019832	4.473064042	0.000489175	0.222196617	171852	s085_Sandmound_TuleA_D2	38.000706	-121.624306	24.5	5.91	10.72	84.6	27.4	15.89	0.965	14.98	0.63	48.13	14.2	0.09	90	783	26590	65	85	s085_Sandmound_TuleA_D2	s085	W14	0.59	266.143	3.436	9.863	0.997	NA	2.034666667	NA	1.438	0.403	114758.69	25081.42	51564.87	NA	254.07	615.38	272.04	25.25	10496.08	0.43	3.21	NA
3	Sandmound_TuleB_D1	Sandmound_TuleB_D1	38.0035	-121.6258	9/5/13	1072584	3300014321	Ga0075353	Gp0116119	3	Sandmound	Sandmound	Tule	SF_Ref	FW	Ref	d1	9/5/17	0.602620915	11.4	22.3	1146	25.50960899	-0.001260655	4.173351163	-0.282940133	-3.09E-05	0.626125654	1298	s003_Sandmound_TuleB_D1	38.000706	-121.624306	23.7	6.27	14.12	39.8	25.56	14.83	1.088	15.15	0.7	28.59	17.8	0.11	NA	NA	NA	NA	3	s003_Sandmound_TuleB_D1	s003	W15	0.57	217.5955	0.8755	11.77	0.9795	NA	2.175333333	1.542	1.4965	0.4275	96669.1	26016.8	59069.71	NA	258.94	624.42	1175.01	20.63	12043.69	0.39	1.35	NA
4	Sandmound_TuleB_D2	Sandmound_TuleB_D2	37.550705	-122.214362	9/5/13	1048103	3300005213	Ga0068998	Gp0101389	86	Sandmound	Sandmound	Tule	SF_Ref	FW	Ref	d2	9/5/17	0.602620915	11.4	22.3	1146	25.50960899	-0.001260655	4.173351163	-0.282940133	-3.09E-05	0.626125654	1298	s086_Sandmound_TuleB_D2	38.000706	-121.624306	24.7	5.85	13.3	40.7	25.65	14.88	0.923	13.59	0.8	35.32	13.9	0.09	94	587	28700	65	86	s086_Sandmound_TuleB_D2	s086	W15	0.57	217.5955	0.8755	11.77	0.9795	NA	2.175333333	1.542	1.4965	0.4275	96669.1	26016.8	59069.71	NA	258.94	624.42	1175.01	20.63	12043.69	0.39	1.35	NA
5	Sandmound_TuleC_D1	Sandmound_TuleC_D1	38.0035	-121.6258	9/5/13	1072585	3300014308	Ga0075354	Gp0116120	4	Sandmound	Sandmound	Tule	SF_Ref	FW	Ref	d1	9/5/17	0.566468299	11.8	22	1073	10.78528512	0.004125327	1.764463823	0.925883825	0.000101255	0.264721569	115006	s004_Sandmound_Tule_C_D1	38.000706	-121.624306	22.2	6.26	13.08	39.7	27.41	15.9	1.103	16.45	0.42	30	14.1	0.114	NA	NA	NA	NA	4	s004_Sandmound_Tule_C_D1	s004	W16	0.6	553.602	17.314	17.8	0.796	NA	5.1186	2.006	2.016	0.146	238099.57	51492.04	77352.15	371.64	508.07	3796.41	3033.7	21.33	11216.38	2.07	4.77	NA
6	Sandmound_TuleC_D2	Sandmound_TuleC_D2	37.550705	-122.214362	9/5/13	1048106	3300005205	Ga0068999	Gp0101390	87	Sandmound	Sandmound	Tule	SF_Ref	FW	Ref	d2	9/5/17	0.566468299	11.8	22	1073	10.78528512	0.004125327	1.764463823	0.925883825	0.000101255	0.264721569	115006	s087_Sandmound_Tule_C_D2	38.000706	-121.624306	24.9	5.69	13.71	65.1	24.35	14.12	0.941	13.27	NA	21.19	10.9	0.085	95	639	29390	67	NA	s087_Sandmound_Tule_C_D2	s087	W16	0.6	553.602	17.314	17.8	0.796	NA	5.1186	2.006	2.016	0.146	238099.57	51492.04	77352.15	371.64	508.07	3796.41	3033.7	21.33	11216.38	2.07	4.77	NA
7	Sandmound_CattailA_D1	NA	NA	NA	NA	NA	NA	NA	NA	1	Sandmound	Sandmound	Cattail	SF_Ref	FW	Ref	d1	9/5/17	0.584762462	12	22	1100	16.57037185	-0.001135456	2.710899281	-0.254840416	-2.79E-05	0.406714777	165123	s001_Sandmound_CattailA_D1	38.000706	-121.624306	19.5	6.24	12.54	108.5	27.97	16.22	1.155	16.76	0.67	44.82	11.3	0.096	NA	NA	NA	NA	1	s001_Sandmound_CattailA_D1	s001	W10	0.58	204.5395	0.7205	16.21	NA	NA	10.5967	10.3675	1.3155	0.221	105517.92	27486.62	47456.79	2592.95	241.82	424.33	577.28	18.74	14048.85	0.19	1.74	NA
8	Sandmound_CattailA_D2	NA	NA	NA	NA	NA	NA	NA	NA	84	Sandmound	Sandmound	Cattail	SF_Ref	FW	Ref	d2	9/5/17	0.584762462	12	22	1100	16.57037185	-0.001135456	2.710899281	-0.254840416	-2.79E-05	0.406714777	165123	s084_Sandmound_CattailA_D2	38.000706	-121.624306	19.7	5.64	11.46	50.3	38.23	22.17	1.19	20.65	0.22	33.55	9.7	0.083	87	367	21840	78	84	s084_Sandmound_CattailA_D2	s084	W10	0.58	204.5395	0.7205	16.21	NA	NA	10.5967	10.3675	1.3155	0.221	105517.92	27486.62	47456.79	2592.95	241.82	424.33	577.28	18.74	14048.85	0.19	1.74	NA
9	Sandmound_ThreeSqA_D1	NA	NA	NA	NA	NA	NA	NA	NA	5	Sandmound	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	9/5/17	0.661564933	11.4	22.4	1256	24.1658074	0.003174626	3.953506323	0.712509492	7.79E-05	0.59314245	136497	s005_Sandmound_ThreeSqA_D1	38.000637	-121.624207	21.5	6.35	13.62	75.7	27.69	16.06	1.099	17.01	0.6	73.76	17.2	0.096	NA	NA	NA	NA	5	s005_Sandmound_ThreeSqA_D1	s005	W11	0.66	316.694	10.555	10.19	1.014	0.051	2.843	0.752	1.5215	0.399	144427.16	25688.29	49568.66	NA	228.64	320.11	124.17	21.39	8136.54	0.24	3.16	NA
9	Sandmound_ThreeSqA_D2	Sandmound_ThreeSqA_D2	37.770749	-122.378031	9/5/13	1048091	3300004062	Ga0055500	Gp0101385	88	Sandmound	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	9/5/17	0.661564933	11.4	22.4	1256	24.1658074	0.003174626	3.953506323	0.712509492	7.79E-05	0.59314245	136497	s088_Sandmound_ThreeSqA_D2	38.000637	-121.624207	24	6.15	15.32	68.9	29.07	16.86	1.016	17.79	0.52	85.49	7.2	0.089	97	630	26270	75	88	s088_Sandmound_ThreeSqA_D2	s088	W11	0.66	316.694	10.555	10.19	1.014	0.051	2.843	0.752	1.5215	0.399	144427.16	25688.29	49568.66	NA	228.64	320.11	124.17	21.39	8136.54	0.24	3.16	NA
