	New_index	Sample_name	Sample	Site	Core	Depth	Restoration	Hydrol	Date	Lat	Long	Salinity	Cond_uS_cm	Temp	DO_perc	DO_mg_L	Redox	pH_YSI	CH4_umol_m2_d	CO2_umol_m2_d	CH4_CO2	CH4_pos	CH4_CO2_pos	pH	Cl	SO4_S	TOC	OM_LOI	C_Org_LOI	CaCO3	C	N	P	CN	CP	NP	NO3	NH4	Olsen_P	NP_ext	NO3_NH4	K_ppm	K_meq	Na_ppm	Na_meq	Ca	Mg	Zn	Mn	Cu	Fe	CH4_m2_lin	CO2_m2_lin	Salinity_lin	pH_lin	NP_ext_lin	NP_lin	Cl_lin
0	1	Historic_R2A_A_D1	R2A_A_D1	R2A 	A	D1	Historic	Tidal marsh	7/11/14	37.496219	-122.132975	1.5563025007672873	4.754646428539347	1.436162647040756	2.171726453653231	0.989894563718773		0.926342446625655		5.47750061892834		-0.1549019599857436	-inf	0.8041394323353505	2.7331972651065692	3.0187004986662433	0.3521825181113625	0.6637009253896482	0.42651126136457523	-0.3767507096020996	0.3283796034387377	-0.7258421507363202	-1.3098039199714864	1.14479063052802	2.073404565127971	0.9286139345999513	-0.1549019599857432	0.8082109729242221	1.2576785748691846	2.508008070432713	-0.9631129329099652	2.984077033902831	0.39269695325966575	4.049218022670182	1.6866362692622934	0.6711728427150833	1.1643528557844371	0.4623979978989561	2.0195316845312554	0.3424226808222063	2.4718781993072905	-24.3	300262.17	36.0	6.37	322.1128648503737	8.484259328061917	541
1	2	Historic_R2A_A_D2	R2A_A_D2	R2A 	A	D2	Historic	Tidal marsh	7/11/14	37.496219	-122.132975	1.5563025007672873	4.754646428539347	1.436162647040756	2.171726453653231	0.989894563718773		0.926342446625655		5.47750061892834		-0.1549019599857436	-inf	0.791690649020118	2.714329759745233	2.9907826918031377	0.3654879848908996	0.6901960800285137	0.45331834004703764	-0.28399665636520083	0.33845649360460484	-0.7099653886374819	-1.3279021420642825	1.1422193352087189	2.1048082540003046	0.9625889187915857	-0.6020599913279624	0.3891660843645325	1.167317334748176	2.1043805268326308	-0.9912260756924949	3.0111473607757975	0.41830129131974547	4.093421685162235	1.7331972651065695	0.6693168805661122	1.2013971243204515	0.2787536009528289	1.3222192947339193	0.5185139398778874	2.565375502714074	-24.3	300262.17	36.0	6.19	127.16878642745499	9.174637605209554	518
2	3	Historic_R2A_B_D1	R2A_B_D1	R2A 	B	D1	Historic	Tidal marsh	7/11/14	37.496044	-122.13293999999999	1.667452952889954	4.8422034589891885	1.414973347970818	2.0546130545568877	0.8518696007297664		0.8518696007297664		5.272124502520741		1.3662361237182932	-4.145550391708337	0.8068580295188175	2.7505083948513462	3.037426497940624	0.6608654780038692	0.951823035315912	0.7151673578484579	-0.21467016498923275	0.6374897295125107	-0.4522252946121775	-1.1307682802690238	1.179856734296384	2.2030518853180157	1.0231951510216315	-1.3010299956639813	0.8790958795000727	1.5526682161121932	2.357837872217985	-2.180125875164054	3.081707270097349	0.4899584794248346	4.110589710299249	1.749736315569061	0.741151598851785	1.252853030979893	0.7160033436347992	2.065206128054312	0.36172783601759284	2.4305587695227575	-1.76	187121.85	46.5	6.41	227.9490949505942	10.548607935414532	563
3	4	Historic_R2A_B_D2	R2A_B_D2	R2A 	B	D2	Historic	Tidal marsh	7/11/14	37.496044	-122.13293999999999	1.667452952889954	4.8422034589891885	1.414973347970818	2.0546130545568877	0.8518696007297664		0.8518696007297664		5.272124502520741		1.3662361237182932	-4.145550391708337	0.7909884750888159	2.7067177823367587	2.9813655090785445	0.7474118078864233	1.0386201619497029	0.8020892578817327	-0.12493873660829995	0.7626785637274363	-0.32513885926218844	-1.1870866433571443	1.1393166288289491	2.34591657828869	1.2065999494597413	0.12710479836480765	0.8898617212581884	1.320146286111054	2.491242656287599	-0.7627569228933807	3.0637085593914173	0.4712917110589386	4.096910013008056	1.7331972651065695	0.7442929831226762	1.2430380486862944	0.4913616938342727	1.6637009253896482	0.2787536009528289	2.60422605308447	-1.76	187121.85	46.5	6.18	309.91504247876065	16.09162671411547	509
4	5	Historic_R2A_C_D1	R2A_C_D1	R2A 	C	D1	Historic	Tidal marsh	7/11/14	37.496546	-122.132967	1.5943925503754266	4.780626897669567	1.4199557484897578	1.9063350418050906	0.7168377232995244	1.3873898263387294	0.8536982117761743		5.425022073900595		1.252853030979893	-4.265630867644534	0.7902851640332417	2.72916478969277	3.0670708560453703	0.7649229846498885	1.0884904701823963	0.8518696007297664	0.11058971029924898	0.7958800173440752	-0.384049948343599	-1.0915149811213503	1.2157388946738248	2.2678560928163614	1.0521171981425363	-0.060480747381381476	1.0534626049254554	1.7218106152125465	2.522276890027568	-1.1139433523068367	3.1740598077250253	0.5820633629117087	4.173186268412274	1.8115750058705933	0.8965262174895553	1.3502480183341627	0.8195439355418687	2.5993371329924893	0.47712125471966244	1.9973863843973134	-7.1	266086.03	39.3	6.17	332.87171229200214	11.275016812581363	536
5	6	Historic_R2A_C_D2	R2A_C_D2	R2A 	C	D2	Historic	Tidal marsh	7/11/14	37.496546	-122.132967	1.5943925503754266	4.780626897669567	1.4199557484897578	1.9063350418050906	0.7168377232995244	1.3873898263387294	0.8536982117761743		5.425022073900595		1.252853030979893	-4.265630867644534	0.7678976160180907	2.7218106152125467	3.0013009330204183	0.5774917998372253	0.8426092396105621	0.6053050461411095	-0.6020599913279616	0.5224442335063199	-0.5670307091255943	-1.2441251443275085	1.2112884706431568	2.2330350712098563	1.0217466005666995	-1.3010299956639813	0.4983105537896005	1.2576785748691846	2.0943897432567753	-1.7993405494535817	3.0457140589408676	0.45331834004703764	4.02530586526477	1.662757831681574	0.6665179805548809	1.1430148002540952	0.2041199826559248	1.505149978319906	0.5797835966168101	2.646501750031612	-7.1	266086.03	39.3	5.86	124.27670876341278	10.513482607067395	527
6	7	restored_SF2_A_D1	SF2_A_D1	SF2	A	D1	Restored	Managed pond	7/17/14	37.497143	-122.12900400000001	1.4638929889859074	4.633630023469062	1.3579348470004537	1.4842998393467859	0.3463529744506387	1.6803355134145632	0.8280150642239769	0.6464037262230695	4.923111481584041	-4.276707755360971	1.468790262099611	-3.873513464005128	0.8645110810583919	2.7810369386211318	3.1357685145678222	0.22010808804005508	0.5646660642520893	0.3283796034387377	-0.3279021420642826	0.22788670461367352	-0.7281583934635011	-1.2291479883578558	1.0150324431838935	1.8606742034430335	0.84564176025914	-1.3010299956639813	1.366982975977851	1.8188854145940099	2.9421773477609694	-2.668012971641832	3.1838390370564214	0.5921767573958668	4.198657086954422	1.8363241157067516	1.0366288953621612	1.2695129442179163	0.6901960800285137	1.6354837468149122	0.6901960800285137	2.5035183127240748	4.43	83774.43	29.1	7.32	875.3411550883155	7.008769223136616	604
7	8	restored_SF2_A_D2	SF2_A_D2	SF2	A	D2	Restored	Managed pond	7/17/14	37.497143	-122.12900400000001	1.4638929889859074	4.633630023469062	1.3579348470004537	1.4842998393467859	0.3463529744506387	1.6803355134145632	0.8280150642239769	0.6464037262230695	4.923111481584041	-4.276707755360971	1.468790262099611	-3.873513464005128	0.8419848045901139	2.7810369386211318	3.1357685145678222	0.2013971243204515	0.5105450102066121	0.2741578492636798	-0.5376020021010441	0.22788670461367352	-0.8181564120552275	-1.2291479883578558	1.0863194980560162	1.8419632397234298	0.7556437416674134	-1.3010299956639813	1.401572845676446	1.7788744720027396	2.9766959551865284	-2.7026028413404273	3.1007150865730817	0.5092025223311029	4.05307844348342	1.69284691927723	0.8603380065709937	1.14921911265538	0.5314789170422551	1.380211241711606	0.146128035678238	2.596707029681446	4.43	83774.43	29.1	6.95	947.7547182825053	5.696967496881099	604
8	9	restored_SF2_B_D1	SF2_B_D1	SF2	B	D1	Restored	Managed pond	7/17/14	37.497202	-122.129305	1.5224442335063197	4.685042723375554	1.3560258571931227	1.8149131812750738	0.667452952889954	1.5943925503754266	0.8267225201689921	1.6175245348862923	5.162014110987162	-3.5444895761008692	1.8224949852787509	-3.4360843887573655	0.859738566197147	2.904715545278681	3.3165993020938607	0.2966651902615311	0.5987905067631151	0.36172783601759284	-0.49485002168009423	0.3242824552976926	-0.6695862266508091	-1.3665315444204136	1.0330173785926777	2.074614861727067	1.0415974831343895	-1.3010299956639813	1.4934580509951885	1.5477747053878226	3.205800759048217	-2.7944880466591697	3.154423973114647	0.5622928644564748	4.193124598354461	1.8318697742805017	1.0948203803547998	1.2648178230095364	0.9030899869919435	1.4183012913197455	0.7781512503836436	2.4795753101749884	41.45	145215.88	33.3	7.24	1606.2042068666665	11.005188435682493	803
9	10	restored_SF2_B_D2	SF2_B_D2	SF2	B	D2	Restored	Managed pond	7/17/14	37.497202	-122.129305	1.5224442335063197	4.685042723375554	1.3560258571931227	1.8149131812750738	0.667452952889954	1.5943925503754266	0.8267225201689921	1.6175245348862923	5.162014110987162	-3.5444895761008692	1.8224949852787509	-3.4360843887573655	0.857935264719429	2.963787827345555	3.351989455435632	0.3074960379132129	0.9074113607745862	0.6711728427150833	0.4248816366310671	0.29885307640970665	-0.7375489102695706	-1.3467874862246563	1.1118109098631208	2.0657016511829918	0.953890741319871	-1.3010299956639813	1.686814954507317	1.530199698203082	3.3791634530775236	-2.987844950171298	3.1351326513767748	0.5428254269591799	4.214843848047698	1.8530895298518655	2.092018470752797	1.2695129442179163	0.9084850188786497	1.1553360374650619	0.7403626894942439	2.2753113545418118	41.45	145215.88	33.3	7.21	2394.21668530814	8.992713167225912	920
10	11	restored_SF2_C_D1	SF2_C_D1	SF2	C	D1	Restored	Managed pond	7/17/14	37.497355999999996	-122.12954599999999	1.561101383649056	4.712338177214012	1.3384564936046048	1.8597385661971468	0.7109631189952758	1.657055852857104	0.8254261177678232	1.021189299069938			1.550228353055094	-4.435680991331255	0.8494194137968994	2.790988475088816	3.3165993020938607	0.24303804868629444	0.5158738437116791	0.28103336724772754	-0.7958800173440754	0.36172783601759284	-0.7544873321858502	-1.2291479883578558	1.0642913425524818	1.8836041640892727	0.8193128215367907	-1.3010299956639813	1.089551882886454	1.6201360549737576	2.6655777686644395	-2.390581878550435	3.0511525224473814	0.45939248775923086	4.068185861746161	1.7075701760979363	1.3392526340326996	1.1553360374650619	0.6232492903979004	1.2479732663618066	0.07918124604762482	2.5721743136130595	10.5	-237242.07	36.4	7.07	462.9965646716593	6.596488680599168	618
11	12	restored_SF2_C_D2	SF2_C_D2	SF2	C	D2	Restored	Managed pond	7/17/14	37.497355999999996	-122.12954599999999	1.561101383649056	4.712338177214012	1.3384564936046048	1.8597385661971468	0.7109631189952758	1.657055852857104	0.8254261177678232	1.021189299069938			1.550228353055094	-4.435680991331255	0.8394780473741984	2.8524799936368566	3.299942900022767	0.28103336724772754	0.6493348587121419	0.4132997640812518	-0.16749108729376372	0.3242824552976926	-0.7304870557820836	-1.3098039199714864	1.0782863847101485	2.0022554142643365	0.9239690295541878	-1.3010299956639813	1.5436956323092448	1.6998377258672457	3.1992346823282745	-2.844725627973226	3.177824971864682	0.5854607295085007	4.181843587944773	1.8208579894397	1.699577591398909	1.24551266781415	0.5563025007672873	1.0293837776852097	0.7075701760979364	2.4324882557705063	10.5	-237242.07	36.4	6.91	1582.1027387181045	8.39400125010381	712
12	13	unrestored_R1_A_D1	R1_A_D1	R1	A	D1	Salt_Pond	Pond	7/11/14	37.496912	-122.13318999999998	1.9876662649262746	5.101733330232639	1.3926969532596658	1.3031960574204888	-0.017728766960431602		0.8893017025063102	2.867656014415554	5.648921897665429	-2.781265883249875	2.8821373139399085	-2.7605288755349857	0.8698182079793282	3.6238692683503024	3.4446692309385245	0.6263403673750424	1.0350292822023681	0.798650645445269	0.3138672203691533	0.6493348587121419	-0.24641694110709336	-1.0915149811213503	0.9395232701624731	2.129273475541515	1.189750205379042	-1.3010299956639813	2.6947806360120614	1.6748611407378116	4.131454085941296	-3.9958106316760427	3.6506959797606107	1.0584260244570054	4.848804701051804	2.4872798164430687	1.893928126542607	1.745855195173729	1.0374264979406236	2.0350292822023683	0.3979400086720376	2.018284308426531	737.32	445576.11	97.2	7.41	13534.86991072365	15.479260369815094	4206
13	14	unrestored_R1_A_D2	R1_A_D2	R1	A	D2	Salt_Pond	Pond	7/11/14	37.496912	-122.13318999999998	1.9876662649262746	5.101733330232639	1.3926969532596658	1.3031960574204888	-0.017728766960431602		0.8893017025063102	2.867656014415554	5.648921897665429	-2.781265883249875	2.8821373139399085	-2.7605288755349857	0.8785217955012065	3.479863113023098	3.5308397786165204	0.5954962218255742	1.1075491297446862	0.8709888137605752	0.5428254269591799	0.6464037262230695	-0.3344190089820469	-1.136677139879544	0.9966811924879584	2.1435914887502405	1.1469102962622824	0.2966651902615311	2.8541845438336066	1.5854607295085006	4.3371776393823485	-2.5575193535720757	3.490660653356137	0.8987251815894935	4.690196080028514	2.3281756614383227	2.1049989492996337	1.6646419755561255	1.0334237554869496	1.9324737646771533	0.43136376415898736	2.1058506743851435	737.32	445576.11	97.2	7.56	21735.90060155832	14.025239826270818	3019
