New_index	Sample_name	Sample	Site	Core	Depth	Restoration	Hydrol	Date	Lat	Long	Salinity	Cond_uS_cm	Temp	DO_perc	DO_mg_L	Redox	pH_YSI	CH4_umol_m2_d	CO2_umol_m2_d	pH	Cl	SO4_S	TOC	OM_LOI	C_Org_LOI	C	N	P	NO3	NH4	Olsen_P	K_ppm	K_meq	Na_ppm	Na_meq	Ca	Mg	Zn	Mn	Cu	Fe
1	Historic_R2A_A_D1	R2A_A_D1	R2A 	A	D1	Historic	Tidal marsh	7/11/14	37.496219	-122.132975	36	56839	27.3	148.5	9.77	-97	8.44	-24.3	300262.17	6.37	541	1044	2.25	4.61	2.67	2.13	0.188	0.049	0.7	6.43	18.1	964	2.47	11200	48.6	4.69	14.6	2.9	104.6	2.2	296.4
2	Historic_R2A_A_D2	R2A_A_D2	R2A 	A	D2	Historic	Tidal marsh	7/11/14	37.496219	-122.132975	36	56839	27.3	148.5	9.77	-97	8.44	-24.3	300262.17	6.19	518	979	2.32	4.9	2.84	2.18	0.195	0.047	0.25	2.45	14.7	1026	2.62	12400	54.1	4.67	15.9	1.9	21	3.3	367.6
3	Historic_R2A_B_D1	R2A_B_D1	R2A 	B	D1	Historic	Tidal marsh	7/11/14	37.496044	-122.13294	46.5	69535	26	113.4	7.11	-149.2	7.11	-1.76	187121.85	6.41	563	1090	4.58	8.95	5.19	4.34	0.353	0.074	0.05	7.57	35.7	1207	3.09	12900	56.2	5.51	17.9	5.2	116.2	2.3	269.5
4	Historic_R2A_B_D2	R2A_B_D2	R2A 	B	D2	Historic	Tidal marsh	7/11/14	37.496044	-122.13294	46.5	69535	26	113.4	7.11	-149.2	7.11	-1.76	187121.85	6.18	509	958	5.59	10.93	6.34	5.79	0.473	0.065	1.34	7.76	20.9	1158	2.96	12500	54.1	5.55	17.5	3.1	46.1	1.9	402
5	Historic_R2A_C_D1	R2A_C_D1	R2A 	C	D1	Historic	Tidal marsh	7/11/14	37.496546	-122.132967	39.3	60343	26.3	80.6	5.21	24.4	7.14	-7.1	266086.03	6.17	536	1167	5.82	12.26	7.11	6.25	0.413	0.081	0.87	11.31	52.7	1493	3.82	14900	64.8	7.88	22.4	6.6	397.5	3	99.4
6	Historic_R2A_C_D2	R2A_C_D2	R2A 	C	D2	Historic	Tidal marsh	7/11/14	37.496546	-122.132967	39.3	60343	26.3	80.6	5.21	24.4	7.14	-7.1	266086.03	5.86	527	1003	3.78	6.96	4.03	3.33	0.271	0.057	0.05	3.15	18.1	1111	2.84	10600	46	4.64	13.9	1.6	32	3.8	443.1
7	restored_SF2_A_D1	SF2_A_D1	SF2	A	D1	Restored	Managed pond	7/17/14	37.497143	-122.129004	29.1	43016	22.8	30.5	2.22	47.9	6.73	4.43	83774.43	7.32	604	1367	1.66	3.67	2.13	1.69	0.187	0.059	0.05	23.28	65.9	1527	3.91	15800	68.6	10.88	18.6	4.9	43.2	4.9	318.8
8	restored_SF2_A_D2	SF2_A_D2	SF2	A	D2	Restored	Managed pond	7/17/14	37.497143	-122.129004	29.1	43016	22.8	30.5	2.22	47.9	6.73	4.43	83774.43	6.95	604	1367	1.59	3.24	1.88	1.69	0.152	0.059	0.05	25.21	60.1	1261	3.23	11300	49.3	7.25	14.1	3.4	24	1.4	395.1
9	restored_SF2_B_D1	SF2_B_D1	SF2	B	D1	Restored	Managed pond	7/17/14	37.497202	-122.129305	33.3	48422	22.7	65.3	4.65	39.3	6.71	41.45	145215.88	7.24	803	2073	1.98	3.97	2.3	2.11	0.214	0.043	0.05	31.15	35.3	1427	3.65	15600	67.9	12.44	18.4	8	26.2	6	301.7
10	restored_SF2_B_D2	SF2_B_D2	SF2	B	D2	Restored	Managed pond	7/17/14	37.497202	-122.129305	33.3	48422	22.7	65.3	4.65	39.3	6.71	41.45	145215.88	7.21	920	2249	2.03	8.08	4.69	1.99	0.183	0.045	0.05	48.62	33.9	1365	3.49	16400	71.3	123.6	18.6	8.1	14.3	5.5	188.5
