KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	Fxn
K00001	3193	2889	2897	1996	2640	2549	1976	2696	2505	2636	2286	3331	3031	3064	3498	3012	2883	2052	31	8206	2912	4655	2926	1807	alcohol dehydrogenase [EC:1.1.1.1]
K00002	281	144	123	95	92	101	218	205	347	354	201	214	1321	1324	1072	965	863	640	20	3158	805	823	895	364	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	2074	1965	1756	1683	1973	2014	1542	2009	2051	2278	1910	1973	2584	2355	2693	2289	1459	1340	31	3543	1962	3659	1961	1335	homoserine dehydrogenase [EC:1.1.1.3]
K00004	302	251	244	300	282	338	347	475	529	567	428	555	282	226	431	239	277	210	8	786	255	456	143	170	"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"
K00005	88	54	83	143	149	205	195	295	251	276	302	232	310	251	345	330	175	148	9	249	179	424	230	159	glycerol dehydrogenase [EC:1.1.1.6]
K00006	10	1	9	6	3	2	10	2	0	9	11	11	0	1	3	1	2	0	25	10	12	33	10	7	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007	5	18	8	6	32	8	14	11	8	4	9	3	0	0	2	0	1	0	1	0	0	2	0	0	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	1689	1715	1418	2017	1583	2046	2182	3030	2772	2829	2850	2734	1065	1001	1200	1123	907	562	48	878	1165	2188	1082	1201	L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	103	57	52	110	45	172	116	159	152	165	186	174	77	86	104	70	55	30	14	55	121	144	142	105	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	1066	1036	961	694	892	897	661	915	811	747	807	703	568	527	938	871	527	489	73	256	535	1549	686	624	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011	26	25	21	31	15	11	27	48	26	30	32	35	15	12	21	14	9	3	21	9	14	35	37	12	aldehyde reductase [EC:1.1.1.21]
K00012	3820	3588	3216	2947	3173	3557	2931	3394	3525	3735	3209	3220	5146	5013	5129	5175	3686	2443	190	6737	3825	6369	3715	2731	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	2865	2490	2308	1989	2447	2581	1814	2431	2494	2505	2346	2346	3278	2839	3325	3305	2473	1789	56	5354	2662	4078	2881	1843	histidinol dehydrogenase [EC:1.1.1.23]
K00014	2612	2255	1992	1633	2175	2326	1629	2203	2164	2215	1803	1995	3083	3061	3048	2944	2043	1725	136	3474	2093	4013	2162	1525	shikimate dehydrogenase [EC:1.1.1.25]
K00015	1478	1512	1388	1057	1456	1194	536	858	743	770	790	882	1454	1216	1632	1654	957	936	45	473	1106	2635	1086	927	glyoxylate reductase [EC:1.1.1.26]
K00016	424	334	381	296	357	289	265	430	336	360	311	501	747	660	799	747	570	360	20	278	692	1325	750	528	L-lactate dehydrogenase [EC:1.1.1.27]
K00018	852	656	590	564	578	827	773	1064	896	914	756	990	958	875	774	793	630	352	12	211	691	777	843	449	glycerate dehydrogenase [EC:1.1.1.29]
K00019	1118	857	935	626	973	748	694	901	950	916	802	760	1108	977	1734	1154	1153	1216	66	2081	1095	2277	1148	627	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	3828	3981	3488	2499	3421	3138	1614	2357	2047	1933	1851	1919	3166	2819	4410	4135	2544	2681	50	1037	2754	6780	3643	2266	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	595	546	514	279	408	225	474	564	558	648	446	471	644	540	936	681	670	713	6	3923	693	1017	566	348	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	33	49	34	19	32	19	8	16	8	10	9	4	0	0	5	2	3	0	13	2	0	10	1	0	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	768	717	687	431	700	537	390	416	446	451	332	304	1180	1155	1662	1532	885	964	12	682	809	1944	1232	595	acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	2596	2487	2131	2004	2357	2561	1711	2201	2141	2215	1930	1989	2209	2113	2691	2484	1988	1572	8	4478	1901	3404	2348	1296	malate dehydrogenase [EC:1.1.1.37]
K00025	0	5	0	1	5	2	1	1	0	1	1	1	0	0	0	0	0	0	0	2	4	3	2	2	malate dehydrogenase [EC:1.1.1.37]
K00026	3	4	1	2	0	1	1	4	3	1	4	2	0	1	0	0	0	0	9	1	5	12	2	5	malate dehydrogenase [EC:1.1.1.37]
K00027	1694	1284	1167	1086	1154	1027	1027	1283	1159	1121	1137	1134	2945	2810	1847	2359	1454	971	29	732	1559	2527	1409	1121	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	3	2	5	2	4	1	2	7	5	4	4	2	20	0	1	2	8	0	0	1	3	2	0	1	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	3840	3644	3667	2959	3727	3587	2361	2932	3045	3109	2570	2500	3096	2614	4839	4032	2889	3049	54	10124	3087	6414	3497	2060	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	668	872	690	709	817	721	320	473	440	502	444	630	944	1004	734	846	688	523	0	209	547	772	601	349	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	4760	3954	3640	3071	3264	3853	3494	4005	3936	3823	3657	3051	5017	4995	5311	5279	3890	3460	80	6163	4194	6209	4381	2761	isocitrate dehydrogenase [EC:1.1.1.42]
K00032	27	37	24	25	30	29	13	20	22	9	12	12	30	7	4	7	4	3	0	8	6	14	8	6	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	2541	1910	1865	2188	2381	3133	1608	2324	1963	2264	1921	2369	2267	2349	2507	2297	1735	1237	51	4442	2070	3582	2063	1449	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	875	736	700	779	844	1017	455	702	514	647	498	841	502	436	742	600	467	448	6	587	592	1194	538	434	glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	197	125	143	61	109	78	142	92	214	125	103	65	39	33	69	57	37	51	0	15	44	94	34	37	D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	3020	2435	2223	2815	2814	4145	1784	2443	2004	2089	2063	2260	2168	2195	2411	2253	1622	1128	60	636	1785	3400	1974	1475	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00038	398	509	486	287	508	278	252	359	252	211	271	155	146	93	152	171	124	46	9	61	138	286	178	110	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	93	66	62	30	46	35	34	35	27	33	38	26	60	54	106	90	71	59	9	22	76	144	102	66	ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	408	323	314	111	227	186	48	106	70	83	66	112	114	114	173	152	76	53	16	31	101	273	123	124	fructuronate reductase [EC:1.1.1.57]
K00041	282	268	203	143	175	207	66	85	73	73	78	126	61	86	126	67	40	7	1	16	126	88	197	79	tagaturonate reductase [EC:1.1.1.58]
K00042	1112	1189	908	879	1102	1267	664	925	860	910	767	893	515	374	597	482	433	319	12	408	520	869	449	295	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043	183	119	117	28	132	63	43	57	35	53	40	25	142	99	184	276	130	92	1	54	93	475	142	111	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00044	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
K00045	525	282	269	117	168	117	90	117	127	141	120	88	184	223	393	480	143	222	19	84	182	730	282	247	mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	1890	1895	1729	1316	1679	1613	1120	1530	1344	1360	1310	1455	768	802	1140	954	714	597	59	384	1041	1912	977	789	gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048	24	22	18	34	17	30	42	48	58	66	61	65	43	39	23	42	23	49	4	21	22	67	9	19	lactaldehyde reductase [EC:1.1.1.77]
K00049	22	28	25	15	31	21	14	8	15	13	22	13	5	1	2	10	6	10	2	1	1	19	0	1	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00050	1288	1317	1304	1168	1373	1196	1016	1601	1470	1667	1420	1709	1680	1663	2194	1885	1522	1427	71	5088	1593	3385	1527	1044	hydroxypyruvate reductase [EC:1.1.1.81]
K00051	9	12	9	3	14	5	1	3	2	3	4	2	0	0	6	6	1	0	0	0	1	2	3	7	malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052	3401	3341	3068	2694	2993	3208	2654	3277	3280	3248	2987	2925	2572	2727	2675	2615	2030	1603	38	4467	2387	4071	2596	1643	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	2629	2397	2081	1916	2178	2473	1910	2490	2401	2491	2352	2266	2538	2408	2938	2671	2007	1740	20	4372	2225	3656	2387	1524	ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	1030	1042	864	744	713	596	808	884	915	949	876	728	1099	990	1064	975	858	570	16	328	857	1179	944	571	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	125	159	118	145	133	160	77	118	111	124	135	107	73	37	43	45	73	9	0	55	38	66	31	13	aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	2470	2027	2075	1738	2195	2379	1845	2359	2271	1996	2009	1792	2882	3065	3025	2986	2102	1544	39	640	2143	4069	2584	1618	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	6655	6409	5930	5091	6170	6570	4719	6158	6261	6463	5625	5839	6520	7214	6865	6502	4739	3834	130	14937	5514	9321	5431	3998	D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]
K00059	13755	14335	12659	10755	14133	12908	9517	12159	11204	11188	10222	10675	10364	9644	11477	10566	8209	6054	417	13175	8330	14895	8487	5766	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	1170	882	878	879	882	1199	953	1092	1060	1018	993	833	1487	1769	1430	1497	948	741	7	330	957	1943	1157	729	threonine 3-dehydrogenase [EC:1.1.1.103]
K00061	4	1	2	3	0	0	7	6	8	0	4	1	0	0	0	0	0	0	0	0	1	6	0	0	11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00062	3	3	0	2	1	0	1	1	8	3	1	3	0	0	2	1	0	0	0	0	10	5	1	7	D-arabinose 1-dehydrogenase [EC:1.1.1.116]
K00063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D-arabinose 1-dehydrogenase [EC:1.1.1.117]
K00064	591	536	526	306	517	483	173	217	208	167	192	174	181	167	340	335	172	135	22	85	177	472	201	132	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	1525	1423	1227	1132	1239	1217	1035	1478	1243	1170	1253	1011	563	600	741	796	501	385	16	246	623	1323	713	588	2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125]
K00066	524	595	519	465	419	444	391	588	425	463	449	399	244	223	334	303	184	99	9	104	286	501	279	190	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	2457	1967	1731	1657	1825	2570	1776	2321	2289	2270	2083	2103	2695	2708	2744	2908	1891	1336	77	1016	2136	3554	2293	1498	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	118	81	80	160	87	189	191	269	265	318	259	313	157	173	177	153	178	79	22	306	248	305	226	164	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	5	8	6	10	13	7	10	7	7	2	6	3	1	0	1	1	4	0	5	0	0	11	0	0	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	0	0	6	4	1	1	6	4	5	10	5	7	0	0	0	0	0	0	0	3	0	2	1	0	3beta-hydroxy-delta5-steroid dehydrogenase / steroid delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00072	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	10	1	3	sepiapterin reductase [EC:1.1.1.153]
K00073	94	125	97	108	136	100	79	92	98	114	113	144	59	41	68	49	46	4	2	71	76	78	86	72	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	2915	2807	2611	2449	2731	3105	2218	3018	2972	3138	2759	3016	3220	3464	3272	3239	2431	2044	38	2130	2348	4019	2482	1394	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	2398	1953	1931	1699	2135	2347	1581	2140	2055	1893	1892	1808	2797	3047	2771	2946	1831	1469	93	661	2180	3658	2152	1629	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	411	443	343	206	386	184	175	278	268	228	245	150	366	364	772	588	340	422	3	108	387	1045	446	282	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	2357	2593	2346	1996	2485	2746	1812	2509	2374	2399	2034	2096	1725	1846	2200	1916	1322	1053	71	2999	1445	2991	1608	1047	2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	14	5	6	8	2	2	15	12	9	10	14	7	5	7	2	4	7	1	13	6	7	6	2	9	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079	15	16	25	37	31	32	3	4	4	7	11	13	109	100	93	112	37	10	1	6	54	9	51	4	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	carbonyl reductase 2 [EC:1.1.1.184]
K00082	124	53	82	65	57	57	21	31	33	16	28	16	49	33	51	35	38	25	8	3	36	92	45	24	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00083	1	0	1	3	7	3	3	0	0	0	2	3	0	0	0	0	0	0	0	3	0	9	1	0	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K00084	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	carbonyl reductase 3 [EC:1.1.1.184]
K00085	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]
K00086	53	58	74	57	106	116	66	112	70	79	73	105	83	106	91	87	68	42	8	49	61	93	102	53	"1,3-propanediol dehydrogenase [EC:1.1.1.202]"
K00087	1222	1351	1152	1310	1227	1213	1853	2355	2171	2029	2171	1482	514	490	387	394	275	152	15	229	331	704	259	276	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	4103	3597	3247	3063	3205	3608	2754	3445	3726	4038	3236	3359	4514	4056	5435	4160	4096	3208	89	20144	4434	6423	3912	2768	IMP dehydrogenase [EC:1.1.1.205]
K00090	107	85	106	71	81	68	65	80	54	85	69	91	118	129	338	210	134	74	1	55	110	238	128	81	gluconate 2-dehydrogenase [EC:1.1.1.215]
K00091	1492	1599	1524	1465	1636	1555	1029	1490	1241	1327	1177	1209	1283	1157	1484	1501	1149	828	55	401	1125	1946	1268	770	dihydroflavonol-4-reductase [EC:1.1.1.219]
K00093	0	2	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	methanol dehydrogenase [EC:1.1.1.244]
K00094	10	10	7	7	3	5	12	15	13	18	14	20	5	1	1	9	6	0	0	6	14	12	6	7	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00096	180	182	163	214	188	220	163	333	324	481	307	468	451	238	528	302	392	366	30	3452	447	681	276	216	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	1957	1839	1657	1614	1928	2205	1509	1894	1887	1855	1797	1821	2315	2091	2274	2180	1679	1326	74	621	1834	2883	2175	1157	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	281	256	206	102	184	111	78	119	89	98	93	76	52	64	82	124	55	54	1	38	86	186	72	76	L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099	2095	1769	1702	1696	1953	2369	1461	1989	1942	1941	1830	1737	2334	2387	2495	2370	1537	1124	50	621	1960	3538	1996	1436	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	4652	4701	4300	2658	4106	3033	2064	2713	2534	2715	2306	2702	3159	2878	4383	3061	2877	2406	140	14466	3317	5708	2952	2206	
K00101	1848	1487	1462	802	1361	1053	673	826	738	642	640	396	1058	1096	1943	1639	1010	1136	23	352	1070	2944	1307	817	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	1243	1418	1317	966	1235	1242	1014	1289	1187	1277	1088	1237	1034	1096	1526	1486	859	840	29	2587	1014	2229	1019	661	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	293	232	179	95	182	123	72	94	82	97	57	76	52	50	77	47	57	38	45	20	97	160	60	50	L-gulonolactone oxidase [EC:1.1.3.8]
K00104	2377	2283	2310	2314	2510	2612	2367	3035	3072	2898	2795	2421	2165	2505	2608	2496	1441	1203	69	697	1895	3520	2067	1427	glycolate oxidase [EC:1.1.3.15]
K00105	176	120	85	50	50	54	104	160	83	71	95	40	79	60	59	68	67	66	1	25	77	142	58	61	alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00106	40	71	69	50	28	26	46	38	35	24	46	25	6	7	12	7	5	3	20	15	17	52	12	6	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00107	13	22	14	31	26	10	8	12	11	6	6	2	0	1	2	2	1	0	0	0	5	7	5	2	"D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]"
K00108	3900	4143	3828	2102	3428	2271	1034	1529	1191	1217	1167	1173	2422	2474	3871	3306	2456	2082	37	1585	2408	5608	3000	1548	choline dehydrogenase [EC:1.1.99.1]
K00109	77	78	65	70	66	91	20	44	25	25	20	32	3	4	23	8	8	4	0	2	7	17	11	12	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	4028	3465	3327	2557	3159	3168	2786	3699	3396	3427	3088	3166	3903	3533	4668	3656	3180	2807	104	11723	3690	6530	3334	2498	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	99	51	89	107	50	104	237	291	405	430	323	424	227	112	420	155	360	365	10	3535	446	528	273	162	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	257	352	364	276	395	223	263	366	352	490	345	443	254	128	474	136	381	407	18	4672	343	453	250	158	glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
K00114	1653	3758	3007	2480	3281	2115	483	591	345	429	405	491	295	325	464	369	423	239	14	90	334	567	382	215	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115	5	4	2	1	7	0	0	2	0	3	2	1	0	0	1	5	0	0	0	2	2	4	1	1	glucose dehydrogenase (acceptor) [EC:1.1.5.9]
K00116	180	91	112	47	67	77	86	91	121	109	100	128	418	424	452	204	311	348	6	2189	365	437	264	145	malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	3650	6046	5000	2951	4535	2396	938	1205	768	841	860	943	708	879	946	893	816	546	83	2629	1016	1349	985	682	quinoprotein glucose dehydrogenase [EC:1.1.5.2]
