KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2
K00001	11.447	11.341	11.503	11.003	11.385	11.257	11.012	11.294	11.317	11.385	11.167	11.719	11.626	11.641	11.789	11.617	11.555	11.28	7.2786	13.337	11.487	11.409	11.535	10.992
K00002	8.5188	7.9036	7.8623	7.6367	7.6037	7.6369	8.4339	8.2703	8.8862	8.9048	8.3223	8.3992	10.489	10.492	10.184	10.088	9.9498	9.7632	6.8972	11.929	9.7949	9.2173	9.959	9.0336
K00003	10.851	10.812	10.812	10.772	10.982	10.933	10.677	10.889	11.04	11.182	10.92	10.987	11.401	11.271	11.418	11.232	10.62	10.699	7.2786	12.096	10.94	11.075	10.979	10.585
K00004	8.5906	8.4323	8.5154	8.7359	8.669	8.7961	8.9039	9.1242	9.3421	9.4179	9.091	9.3961	8.7024	8.4811	9.1165	8.5364	8.6843	8.552	6.1488	10.045	8.5427	8.5981	8.0146	8.2657
K00005	7.4291	7.0139	7.502	8.0146	8.0494	8.2988	8.3255	8.6275	8.5562	8.6491	8.7257	8.4783	8.7993	8.5851	8.8801	8.864	8.2331	8.2118	6.241	8.7501	8.1988	8.5255	8.4698	8.2018
K00006	5.5639	3.9928	5.6021	5.2834	4.741	4.4116	5.7151	4.384	3.5696	5.6118	5.7631	5.7779	3.5887	4.1241	4.7449	4.1241	4.496	3.688	7.0899	5.8779	5.8232	6.2079	5.6999	5.4934
K00007	4.9924	6.0734	5.5057	5.2834	6.6649	5.4618	5.9905	5.6973	5.5175	4.9591	5.5987	4.7449	3.5887	3.5887	4.4686	3.5887	4.1241	3.688	4.7594	3.7068	3.5505	3.9738	3.5696	3.631
K00008	10.577	10.63	10.527	11.017	10.684	10.954	11.149	11.458	11.459	11.485	11.475	11.439	10.212	10.134	10.327	10.279	10.011	9.6098	7.6696	10.184	10.252	10.387	10.195	10.447
K00009	7.5721	7.0619	7.082	7.7711	6.962	8.1312	7.8358	8.0292	8.0719	8.1474	8.2477	8.1999	7.4722	7.5725	7.7196	7.386	7.1697	6.7671	6.5973	7.3251	7.8318	7.5067	8.0081	7.8134
K00010	9.9893	9.9848	10.031	9.6536	9.9499	9.8879	9.6164	9.8761	9.8391	9.738	9.8132	9.6688	9.4552	9.3704	10.017	9.9611	9.3704	9.4494	8.0547	8.7785	9.3219	9.9523	9.64	9.6365
K00011	6.3593	6.3481	6.3001	6.6412	6.0289	5.7239	6.538	6.9415	6.4911	6.6111	6.6538	6.7459	6.0577	5.8748	6.3113	6.0011	5.64	4.9129	6.939	5.7933	5.9498	6.2579	6.7941	5.9302
K00012	11.701	11.647	11.651	11.545	11.644	11.727	11.561	11.618	11.8	11.88	11.643	11.671	12.391	12.353	12.344	12.399	11.906	11.525	9.0004	13.042	11.876	11.855	11.876	11.567
K00013	11.295	11.135	11.185	10.998	11.279	11.274	10.896	11.15	11.311	11.314	11.203	11.226	11.738	11.533	11.717	11.749	11.339	11.091	7.8098	12.701	11.361	11.224	11.513	11.019
K00014	11.166	10.999	10.983	10.731	11.115	11.13	10.751	11.015	11.114	11.143	10.842	11.002	11.65	11.64	11.593	11.585	11.074	11.041	8.6555	12.067	11.028	11.202	11.113	10.762
K00015	10.402	10.464	10.499	10.166	10.574	10.243	9.3759	9.7986	9.7342	9.7742	9.7876	9.941	10.615	10.381	10.731	10.787	10.077	10.231	7.6112	9.4414	10.186	10.631	10.2	10.116
K00016	8.9386	8.7174	8.9709	8.7222	8.9117	8.6366	8.6275	9.0173	8.8526	8.9224	8.7557	9.2815	9.7751	9.6286	9.8211	9.7751	9.4592	9.1097	6.8972	8.8637	9.6159	9.7633	9.7454	9.4436
K00018	9.7184	9.4436	9.451	9.4143	9.4376	9.7899	9.8017	10.061	9.9603	9.9821	9.7351	10.084	10.079	9.9667	9.783	9.8469	9.5744	9.0855	6.4711	8.5829	9.6142	9.1544	9.8859	9.2617
K00019	10.048	9.755	9.997	9.5336	10.057	9.6706	9.6735	9.8575	10.032	9.9848	9.8057	9.7612	10.262	10.103	10.812	10.314	10.313	10.57	7.961	11.337	10.173	10.439	10.27	9.6421
K00020	11.704	11.795	11.767	11.314	11.752	11.549	10.738	11.108	11.038	10.956	10.878	10.949	11.688	11.523	12.124	12.072	11.379	11.657	7.7066	10.396	11.409	11.945	11.848	11.305
K00021	9.3055	9.2379	9.2957	8.6622	9.0532	8.3889	9.2389	9.313	9.4022	9.571	9.1356	9.2133	9.6	9.3978	10.014	9.6654	9.6463	9.8932	5.928	12.244	9.6176	9.4545	9.4183	8.9858
K00022	6.5621	6.928	6.7094	6.2279	6.6649	6.175	5.533	6.0066	5.5175	5.698	5.5987	4.9612	3.5887	3.5887	5.1368	4.496	4.7729	3.688	6.5364	4.6596	3.5505	5.1871	4.099	3.631
K00023	9.5964	9.5456	9.6267	9.1165	9.659	9.2913	9.0273	8.9821	9.1536	9.1634	8.823	8.7495	10.343	10.315	10.755	10.685	9.9807	10.269	6.4711	9.8711	9.8008	10.236	10.361	9.5809
K00024	11.158	11.133	11.075	11.008	11.227	11.263	10.817	11.014	11.099	11.143	10.934	10.998	11.182	11.121	11.417	11.345	11.037	10.914	6.1488	12.438	10.897	10.976	11.227	10.546
K00025	3.4744	5.0165	3.5612	4.099	5.133	4.4116	4.1137	4.0222	3.5696	4.0971	4.0847	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.6596	4.9328	4.2224	4.4686	4.5558
K00026	4.6001	4.8399	4.088	4.4686	3.567	4.0472	4.1137	4.8741	4.7449	4.0971	4.9452	4.4686	3.5887	4.1241	3.5696	3.5887	3.5887	3.688	6.241	4.2767	5.1087	5.3451	4.4686	5.2241
K00027	10.581	10.254	10.275	10.2	10.272	10.054	10.151	10.298	10.283	10.237	10.237	10.255	11.585	11.519	10.897	11.273	10.615	10.278	7.2198	9.9574	10.631	10.576	10.536	10.357
K00028	4.6001	4.3512	5.1246	4.4686	4.9573	4.0472	4.4846	5.3245	5.1368	4.9591	4.9452	4.4686	6.2959	3.5887	4.099	4.496	5.544	3.688	4.112	4.2767	4.7165	3.9738	3.5696	4.1794
K00029	11.708	11.669	11.839	11.551	11.875	11.739	11.258	11.411	11.592	11.618	11.33	11.314	11.656	11.417	12.259	12.036	11.558	11.841	7.7766	13.651	11.57	11.865	11.789	11.172
K00030	9.4358	9.7758	9.6318	9.6788	9.8432	9.6274	8.8196	9.1196	9.1389	9.2813	9.1307	9.5409	10.06	10.137	9.7198	9.9255	9.6774	9.5264	4.112	8.5734	9.3467	9.1473	9.4867	8.9888
K00031	12.017	11.786	11.828	11.604	11.685	11.841	11.812	11.854	11.959	11.914	11.829	11.594	12.354	12.348	12.395	12.429	11.984	12.023	8.1405	12.91	12.008	11.818	12.114	11.583
K00032	6.3912	6.6827	6.4122	6.4579	6.6095	6.5307	5.9297	6.1919	6.3503	5.6118	5.8345	5.8492	6.6386	5.4354	4.9612	5.4354	4.9891	4.9129	4.112	5.6989	5.2557	5.4782	5.5175	5.3694
K00033	11.128	10.774	10.893	11.129	11.241	11.546	10.733	11.088	10.98	11.173	10.928	11.239	11.218	11.268	11.318	11.236	10.852	10.593	7.7246	12.426	11.013	11.046	11.048	10.694
K00034	9.7501	9.5759	9.6487	9.7907	9.8825	10.042	9.1939	9.5619	9.31	9.5692	9.2564	9.883	9.3159	9.1605	9.7326	9.518	9.2357	9.3505	5.928	9.6917	9.436	9.6401	9.361	9.2242
K00035	8.1745	7.7726	8.0026	7.236	7.759	7.402	8.024	7.5246	8.3992	7.8872	7.6953	7.293	6.8659	6.7207	7.3467	7.2016	6.8199	7.2336	4.112	6.2072	6.9194	7.1208	6.7208	6.8761
K00036	11.368	11.104	11.133	11.481	11.474	11.946	10.873	11.157	11.008	11.062	11.025	11.174	11.156	11.173	11.264	11.21	10.761	10.472	7.8731	9.787	10.811	10.974	10.988	10.718
K00038	8.8723	9.161	9.2337	8.6909	9.2924	8.5977	8.5771	8.8278	8.5602	8.3834	8.6162	8.0903	8.0614	7.6439	8.0719	8.211	7.9088	7.1417	6.241	7.4181	7.9538	8.1437	8.2216	7.8564
K00039	7.4792	7.1927	7.2389	6.6131	6.9814	6.6921	6.7358	6.6659	6.5231	6.6931	6.8025	6.4911	7.2475	7.1533	7.737	7.614	7.3988	7.3642	6.241	6.5256	7.407	7.5067	7.7017	7.3903
K00040	8.8982	8.6834	8.7695	7.7794	8.453	8.2056	7.0378	7.6538	7.3596	7.5117	7.2916	7.7877	7.8309	7.8309	8.1944	8.0993	7.4603	7.268	6.7083	6.8188	7.6656	8.0996	7.8743	7.9676
K00041	8.5223	8.4967	8.3355	8.0146	8.2015	8.3082	7.3221	7.4528	7.3975	7.3955	7.4422	7.8966	7.2623	7.5725	7.8966	7.3466	6.888	5.5683	4.7594	6.2602	7.8693	7.0617	8.319	7.553
K00042	10.041	10.156	9.961	9.9369	10.213	10.319	9.6217	9.8893	9.9102	9.9767	9.7523	9.9562	9.3445	8.9955	9.4791	9.2707	9.153	8.9804	6.4711	9.2754	9.2902	9.2774	9.1609	8.813
K00043	8.1046	7.7274	7.8161	6.5541	7.9361	7.2099	6.9408	7.0938	6.7459	7.1085	6.8473	6.4579	8.0353	7.7011	8.2533	8.6806	7.9528	7.7677	4.7594	7.3086	7.5902	8.6391	8.0081	7.8647
