binID	SF2_A_D1	SF2_A_D2	SF2_A_H2O	SF2_B_D1	SF2_B_D2	SF2_B_H2O	SF2_C_D1	SF2_C_D2	SF2_C_H2O	R1_A_D1	R1_A_D2	R1_A_H2O	R1_B_D1	R1_B_D2	R1_B_H2O	R1_C_D1	R1_C_D2	R1_C_H2O	R2A_A_D1	R2A_A_D2	R2A_A_H2O	R2A_B_D1	R2A_B_D2	R2A_B_H2O	R2A_C_D1	R2A_C_D2	R2A_C_H2O	R2_A_D1	R2_A_D2	R2_A_H2O	R2_B_D1	R2_B_D2	R2_B_H2O	R2_C_D1	R2_C_D2	R2_C_H2O	R2_restored_C_black	R2_restored_DShore	R2_restored_H2O
SF2_A_D1_concoct.23	20.25	19.634	18.248	18.173	17.588	16.479	18.456	16.593	16.013	-5.5535	-4.0699	-4.1625	-3.7846	-4.4215	-3.2889	-4.253	-3.7552	-5.5835	15.819	9.4662	12.703	10.768	12.713	11.966	7.3533	9.2612	15.084	-5.9022	-3.6958	-1.7512	-4.5237	-5.6315	-5.3326	-2.5409	-5.0263	-6.0307	-1.9888	-0.71321	5.4952
SF2_A_D2_concoct.11	14.454	15.976	11.745	14.779	14.041	12.235	16.356	14.736	11.797	-5.2255	-5.2676	-4.9113	-6.979	-4.0871	-5.2336	-7.6553	-3.0764	-6.5065	10.025	0.21627	12.99	0.72898	3.3207	10.275	1.0681	0.14185	11.779	-4.0687	-3.2644	-1.423	-7.6668	-5.9272	-5.3326	-8.5231	-5.712	-3.8248	-2.7935	-4.0461	4.6933
SF2_A_D2_concoct.13	15.009	19.459	10.878	16.33	16.31	10.407	19.294	18.484	9.1036	-4.9182	-4.7805	-6.2633	-4.1707	-5.5282	-5.5828	-5.6002	-4.9392	-6.014	3.4475	-0.13503	3.863	1.939	10.932	2.2228	6.8645	15.389	5.9751	-3.7104	-2.7048	-1.7512	-4.1442	-5.4586	-5.3326	-3.2189	-5.5718	-6.0307	-2.0764	3.3284	6.5527
SF2_A_D2_concoct.28	19.524	20.134	16.585	20.541	20.088	14.908	20.313	19.497	13.913	-5.0481	-3.8939	-4.9113	-4.2717	-4.4215	-3.9573	-4.379	-3.7989	-6.8114	11.073	3.585	11.878	8.5659	15.206	9.8863	7.4366	13.028	13.847	-3.4798	-2.0696	-1.7512	-4.2818	-4.7208	-2.3194	-2.8388	-4.9778	-2.3	-2.0247	3.6249	7.703
SF2_A_D2_concoct.33	9.9429	18.352	7.1909	6.8704	6.8655	4.6953	8.7513	15.944	4.7286	0.60016	0.43612	-0.21196	0.24789	1.1186	-0.44743	0.96064	0.019101	-1.6591	6.134	7.4221	3.3071	9.3824	14.382	2.8511	9.7844	15.265	4.6484	-1.4356	-1.3734	0.93038	-0.55252	0.42801	0.80821	1.3632	-1.3612	1.8091	2.5244	14.457	4.1405
SF2_A_D2_concoct.40	11.567	19.779	4.1072	13.668	15.441	3.8333	13.895	18.453	2.8504	-2.5448	-2.3548	-3.4373	-2.7514	-2.1614	-4.5296	-3.1934	-2.2429	-3.6946	-3.6064	0.77989	-3.9812	-3.2107	2.5638	-3.0534	10.48	13.13	-3.8521	-2.6158	-2.7779	-0.29219	-0.37834	-0.25416	-1.7198	-3.3104	-1.5408	4.3037	-0.78452	18.689	-0.7392
SF2_A_D2_concoct.55	18.234	18.201	17.071	16.959	16.195	15.67	16.774	14.81	15.258	-0.16636	0.30376	-1.6077	-0.39261	0.32947	-1.4192	0.17663	-0.52917	-2.2742	12.023	9.6875	12.273	10.178	10.543	12.144	7.758	8.7642	15.218	-1.8074	-1.1861	-4.6891	-1.2616	-1.5884	-2.3194	1.1193	-1.3946	-3.8248	2.4857	0.11396	3.7472
SF2_A_D2_concoct.8	20.391	20.038	18.076	18.728	18.156	16.122	19.093	17.281	15.551	-3.5694	-2.8865	-4.4958	-2.4414	-3.2094	-2.9285	-3.3279	-2.4861	-4.4867	15.439	10.413	13.223	11.659	11.94	11.909	8.5305	5.9433	13.937	-2.8392	-1.8494	-1.7512	-2.8916	-4.2545	-5.3326	-1.0475	-3.476	-3.8248	-1.8383	4.5241	6.3572
SF2_A_H2O_concoct.23	20.043	18.994	17.666	19.039	18.313	16.182	18.558	16.906	15.554	-3.0218	-2.2002	-5.3063	-2.0963	-2.2014	-3.2153	-1.7656	-2.4861	-4.0882	17.465	13.509	13.011	14.836	14.196	14.717	10.587	9.4937	17.761	-2.4275	-1.6998	-0.89579	-3.2842	-2.8471	-1.9952	-1.9066	-3.3255	-6.0307	-1.1275	-1.3006	7.5649
SF2_A_H2O_concoct.33	-0.35847	-0.33077	18.011	-1.6263	-1.497	20.449	-0.37569	-1.689	20.486	-10.96	-10.9	-2.631	-9.3267	-9.6	-3.2153	-12.972	-15.184	-5.3829	-4.0331	-3.5908	15.518	-4.321	-3.2774	15.274	-3.4461	-2.7481	12.607	-11.523	-9.4906	-1.1422	-11.92	-13.24	-2.3194	-10.186	-12.9	-6.0307	-9.0954	-8.7288	-3.6411
