"TL_inc_d1_DI_ctrl_2"	"TL_inc_d1_DI_ctrl_3"	"TL_inc_d1_DI_ctrl_4"	"TL_inc_d1_DI_ctrl_5"	"TL_inc_d2_DI_ctrl_1"	"TL_inc_d2_DI_ctrl_3"	"TL_inc_d2_DI_ctrl_4"	"TL_inc_d2_DI_ctrl_5"	"TL_inc_d1_ASW_noS_1"	"TL_inc_d1_ASW_noS_2"	"TL_inc_d1_ASW_noS_3"	"TL_inc_d1_ASW_noS_4"	"TL_inc_d1_ASW_noS_5"	"TL_inc_d2_ASW_noS_2"	"TL_inc_d2_ASW_noS_3"	"TL_inc_d2_ASW_noS_4"	"TL_inc_d2_ASW_noS_5"	"TL_inc_d1_ASW_3"	"TL_inc_d1_ASW_4"	"TL_inc_d1_ASW_5"	"TL_inc_d2_ASW_1"	"TL_inc_d2_ASW_3"	"TL_inc_d2_ASW_4"	"TL_inc_d2_ASW_5"	"TL_inc_d1_SO4_3"	"TL_inc_d1_SO4_4"	"TL_inc_d1_SO4_5A"	"TL_inc_d1_SO4_5B"	"TL_inc_d2_SO4_2"	"TL_inc_d2_SO4_3"	"TL_inc_d2_SO4_4"	"TL_inc_d2_SO4_5A"	"TL_inc_d2_SO4_5B"	"Consensus.lineage"
"0"	" 6539"	"6226"	"5419"	"7188"	"5304"	"2403"	"3007"	" 3927"	" 2325"	" 1956"	" 4830"	"3746"	"3349"	"1766"	"  838"	" 5009"	"7606"	" 2367"	"1308"	"  476"	" 3186"	"3447"	"1216"	" 711"	"5696"	"6992"	"7308"	"7322"	"7468"	"6750"	"4957"	"6702"	"7196"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes"
"1"	"10255"	"2377"	"3193"	"3864"	"2463"	" 795"	"1020"	" 3035"	" 5393"	" 5044"	" 8033"	"4792"	"4176"	"9768"	" 8444"	"15806"	"5805"	" 2163"	"4377"	" 2824"	"11357"	"8448"	"4493"	"3739"	"3791"	"3474"	"3224"	"3806"	"3117"	"3862"	"2157"	"4971"	"6180"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__ActinomycetalesOR;g__ActinomycetalesOR"
"2"	"   90"	" 621"	" 134"	" 153"	" 213"	"  14"	" 160"	"   93"	"   14"	"   12"	"   89"	"   7"	"   9"	"   2"	"   14"	"   12"	"   2"	"    0"	"   4"	"    1"	"    3"	"   1"	"   4"	"   3"	"  77"	" 127"	"  63"	"  50"	"  50"	"  52"	"   6"	"   5"	"  75"	"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Gallionellales;f__Gallionellaceae;g__GallionellaceaeFA"
"3"	"  214"	"   4"	"   1"	"   2"	"   0"	"  30"	"   8"	"    2"	" 7038"	"15417"	" 4540"	"8862"	"7389"	" 179"	"  218"	"  747"	"   5"	"  775"	"4399"	"28845"	"  522"	"  19"	"3795"	" 102"	"   0"	"   1"	"   0"	"   2"	"   1"	"   3"	"  13"	"   2"	"   2"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus"
"4"	" 2097"	"2301"	"2460"	"3221"	"4060"	"1193"	"2586"	" 6391"	"  789"	"  385"	"  422"	" 877"	" 846"	" 265"	"  589"	" 1066"	" 297"	"  411"	" 418"	"  331"	" 1270"	"1300"	" 681"	"1830"	"2683"	"2722"	"2834"	"3079"	"4605"	"3500"	"3525"	"4316"	"3220"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"5"	"  354"	" 233"	" 500"	" 574"	"5020"	"6028"	"3899"	" 1422"	"  151"	"   68"	"   67"	"  58"	"  42"	" 598"	"  444"	" 1808"	"2752"	"   42"	"  34"	"  870"	" 1707"	"1982"	"  37"	"4913"	" 358"	" 308"	"1099"	"6170"	"5514"	"3579"	"8425"	"5747"	" 683"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"6"	"  686"	"2259"	"1686"	"1449"	" 420"	" 482"	" 302"	"  365"	"  747"	"  447"	"  814"	"1169"	"1068"	"  77"	"   68"	"  218"	"1257"	" 1121"	" 758"	"   56"	"  185"	"  60"	" 739"	"  42"	"1414"	"1629"	"1654"	" 329"	" 508"	" 286"	" 393"	" 324"	"1700"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae"
"7"	" 2238"	"1172"	"1859"	"2348"	"1816"	" 306"	"1845"	" 2570"	"  422"	"  537"	"  555"	" 775"	" 778"	" 389"	"  321"	" 1150"	"4182"	"  155"	" 128"	"  865"	" 2108"	"1878"	" 190"	"5209"	"2743"	"1734"	"1536"	"2109"	"2481"	"3124"	"1610"	"2209"	"1417"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"8"	"   72"	" 363"	"  57"	"  56"	"  15"	"  17"	"  11"	"   10"	"   26"	"   19"	"   54"	"  67"	"  50"	"   6"	"   10"	"   11"	"   1"	"   60"	"  43"	"   28"	"    7"	"   8"	"  42"	"   1"	"  64"	"  83"	"  90"	"  23"	"   8"	"  19"	"  11"	"   9"	"  41"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__Methylosinus"
"9"	"  940"	"1702"	"1758"	"3240"	"5009"	"1464"	"2081"	"10470"	"  641"	"    7"	"   64"	"  92"	"  37"	"  72"	"  513"	"  453"	"   2"	"    5"	"   9"	"   14"	"  105"	" 182"	"   4"	"  68"	" 709"	"1147"	"2135"	"1741"	"3622"	" 803"	"1324"	"2059"	"1430"	"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Gallionellales;f__Gallionellaceae;g__Gallionella"
