KO,Control_1,Control_2,Control_3,Control_4,Control_5,SO4_1,SO4_2,SO4_3,SO4_4,SO4_5,ASW_1,ASW_2,ASW_3,ASW_4,ASW_5,ASW_S_2,ASW_S_4,ASW_S_5,SourceSoil_1,SourceSoil_2,SourceSoil_3,SourceSoil_4,SourceSoil_5,Fxn
K00001,2291,2305,1984,2540,2806,2818,5852,2728,4372,1298,1498,1094,2372,1787,2430,1171,1697,2204,2058,1520,1455,1524,1750,alcohol dehydrogenase [EC:1.1.1.1]
K00002,39,38,78,35,43,35,85,48,76,28,10,15,44,24,54,41,41,11,11,7,8,26,21,alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003,1643,1487,1518,1878,2276,1847,3839,2016,3100,1062,1210,1325,1970,1665,1971,1035,1472,1410,1798,1327,1292,1374,1565,homoserine dehydrogenase [EC:1.1.1.3]
K00004,175,158,123,146,331,219,496,191,403,151,223,291,371,389,244,164,258,342,226,214,207,181,183,"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"
K00005,10,13,38,21,12,16,69,32,31,8,6,6,12,10,23,2,14,33,22,7,4,9,19,glycerol dehydrogenase [EC:1.1.1.6]
K00006,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,0,D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008,2700,2245,3189,3162,2953,3278,6676,3343,5254,1365,1707,1231,2960,1696,3383,1376,1826,2310,2356,1576,1497,1782,2185,L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009,9,6,73,15,43,37,97,50,83,3,2,9,93,24,77,15,23,18,9,37,4,2,11,mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010,545,584,495,491,875,590,1578,567,1266,623,638,794,1049,900,535,465,1022,763,928,796,718,681,788,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011,233,294,117,288,259,396,523,237,429,118,199,98,260,135,321,46,166,166,89,52,51,65,120,aldehyde reductase [EC:1.1.1.21]
K00012,2672,2424,2636,3112,3402,3189,6785,3261,5679,1579,1901,1683,2819,2427,3210,1576,2258,2658,2676,1972,1918,2014,2655,UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013,1192,999,1059,1367,1687,1348,2997,1462,2269,820,1089,1043,1617,1514,1615,945,1158,1443,1555,1118,1032,1193,1219,histidinol dehydrogenase [EC:1.1.1.23]
K00014,524,407,552,596,986,575,1352,684,1144,575,638,740,969,1451,616,853,793,1099,1073,881,881,868,1005,shikimate dehydrogenase [EC:1.1.1.25]
K00015,1055,959,1453,1425,1348,1200,2850,1543,2179,709,509,312,782,971,1013,532,628,1216,1463,1029,1052,1087,1335,glyoxylate reductase [EC:1.1.1.26]
K00016,400,367,269,394,548,447,912,346,633,189,183,118,444,341,453,129,272,346,165,209,150,164,192,L-lactate dehydrogenase [EC:1.1.1.27]
K00018,259,272,229,239,303,335,593,256,566,181,170,124,311,178,231,181,247,435,148,194,169,169,151,glycerate dehydrogenase [EC:1.1.1.29]
K00019,724,650,515,661,855,804,1509,702,1343,619,599,485,723,1034,424,273,590,1064,736,679,729,635,746,3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020,3257,3021,2487,3467,4591,3860,7749,3486,5937,2917,3016,3584,4561,4625,2547,1770,3685,3981,3843,3272,2971,2881,3486,3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021,286,316,286,274,596,366,860,381,697,321,592,817,741,477,419,587,707,472,232,242,190,206,187,hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022,0,0,0,0,0,0,6,0,6,4,0,0,0,0,3,0,0,0,0,6,3,3,6,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023,660,628,454,608,993,633,1399,560,1084,664,689,979,1118,1010,403,498,945,1022,806,778,742,596,611,acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024,1628,1235,1759,1908,2013,1777,3575,1782,2694,1166,1231,1115,1799,1935,2000,923,1357,1928,2266,1619,1665,1788,1767,malate dehydrogenase [EC:1.1.1.37]
K00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,malate dehydrogenase [EC:1.1.1.37]
K00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,malate dehydrogenase [EC:1.1.1.37]
K00027,1628,1455,1652,1783,2526,1858,4083,1795,2834,1505,2285,2312,3437,2471,2193,1805,2614,2941,959,1108,981,740,845,malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029,2374,2115,2115,2632,2616,2725,5359,2673,4015,1214,1308,868,1936,1551,1954,788,1584,1895,2188,1753,1687,1774,1943,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030,942,682,926,1137,1023,1131,2238,1151,1671,429,474,272,762,696,1151,459,540,962,1115,661,569,765,868,isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031,2196,1746,2131,2436,2775,2375,4677,2369,3591,1755,1696,1605,2459,2430,2524,1246,1779,2274,3099,2166,2239,2393,2707,isocitrate dehydrogenase [EC:1.1.1.42]
K00032,5,5,13,0,3,5,17,29,10,3,0,8,5,18,7,0,19,6,13,5,5,6,3,phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033,1881,1820,1643,2073,2509,2216,4339,2163,3460,1499,1740,1876,2881,2682,2374,1441,2148,2233,2158,1654,1487,1504,1857,6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034,565,637,337,436,749,595,1659,495,1106,548,662,842,1070,1129,536,654,1000,852,559,457,465,424,418,glucose 1-dehydrogenase [EC:1.1.1.47]
K00035,0,0,0,0,3,0,0,0,0,0,0,0,0,35,92,11,0,26,17,7,14,10,9,D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036,3745,3450,2752,4039,5481,4296,9113,3849,6730,3709,4794,5881,7033,5505,3896,3184,5635,4409,3823,3032,2988,2827,3247,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.50]
K00038,305,275,129,283,643,345,780,369,664,384,461,762,813,682,323,276,643,492,315,258,320,138,151,3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
