Itag_sample	itag_meta_order	itag_meta_order2	Samp	Study	Exper	Depth	Treatment	Replicate	MG_name	Treat
TL_d1_field_Core_10	41		TL_d1_field_Core_10	TL_inc	field	d1	Core	10	NA	SourceSoil
TL_d1_field_Core_19	43		TL_d1_field_Core_19	TL_inc	field	d1	Core	19	NA	SourceSoil
TL_d1_field_Core_36	45		TL_d1_field_Core_36	TL_inc	field	d1	Core	36	NA	SourceSoil
TL_d1_field_Core_43	47		TL_d1_field_Core_43	TL_inc	field	d1	Core	43	NA	SourceSoil
TL_d1_field_Core_46	49		TL_d1_field_Core_46	TL_inc	field	d1	Core	46	NA	SourceSoil
TL_d2_field_Core_10	42		TL_d2_field_Core_10	TL_inc	field	d2	Core	10	SourceSoil_1	SourceSoil
TL_d2_field_Core_19	44		TL_d2_field_Core_19	TL_inc	field	d2	Core	19	SourceSoil_2	SourceSoil
TL_d2_field_Core_36	46		TL_d2_field_Core_36	TL_inc	field	d2	Core	36	SourceSoil_3	SourceSoil
TL_d2_field_Core_43	48		TL_d2_field_Core_43	TL_inc	field	d2	Core	43	SourceSoil_4	SourceSoil
TL_d2_field_Core_46	50		TL_d2_field_Core_46	TL_inc	field	d2	Core	46	SourceSoil_5	SourceSoil
NA	21	21	TL_inc_d1_ASW_1	TL_inc	inc	d1	ASW	1	NA	ASW
NA	22	22	TL_inc_d1_ASW_2	TL_inc	inc	d1	ASW	2	NA	ASW
TL_inc_d1_ASW_3	23	23	TL_inc_d1_ASW_3	TL_inc	inc	d1	ASW	3	NA	ASW
TL_inc_d1_ASW_4	24	24	TL_inc_d1_ASW_4	TL_inc	inc	d1	ASW	4	NA	ASW
TL_inc_d1_ASW_5	25	25	TL_inc_d1_ASW_5	TL_inc	inc	d1	ASW	5	NA	ASW
TL_inc_d1_ASW_noS_1	11	31	TL_inc_d1_ASW_noS_1	TL_inc	inc	d1	ASW_noS	1	NA	ASW_noS
TL_inc_d1_ASW_noS_2	12	32	TL_inc_d1_ASW_noS_2	TL_inc	inc	d1	ASW_noS	2	NA	ASW_noS
TL_inc_d1_ASW_noS_3	13	33	TL_inc_d1_ASW_noS_3	TL_inc	inc	d1	ASW_noS	3	NA	ASW_noS
TL_inc_d1_ASW_noS_4	14	34	TL_inc_d1_ASW_noS_4	TL_inc	inc	d1	ASW_noS	4	NA	ASW_noS
TL_inc_d1_ASW_noS_5	15	35	TL_inc_d1_ASW_noS_5	TL_inc	inc	d1	ASW_noS	5	NA	ASW_noS
NA	1	1	TL_inc_d1_DI_ctrl_1	TL_inc	inc	d1	DI_ctrl	1	NA	Control
TL_inc_d1_DI_ctrl_2	2	2	TL_inc_d1_DI_ctrl_2	TL_inc	inc	d1	DI_ctrl	2	NA	Control
TL_inc_d1_DI_ctrl_3	3	3	TL_inc_d1_DI_ctrl_3	TL_inc	inc	d1	DI_ctrl	3	NA	Control
TL_inc_d1_DI_ctrl_4	4	4	TL_inc_d1_DI_ctrl_4	TL_inc	inc	d1	DI_ctrl	4	NA	Control
TL_inc_d1_DI_ctrl_5	5	5	TL_inc_d1_DI_ctrl_5	TL_inc	inc	d1	DI_ctrl	5	NA	Control
NA	31	11	TL_inc_d1_SO4_2	TL_inc	inc	d1	SO4	2	NA	SO4
